Time, Plan
0.466, 1
1.964, 2
2.034, 3
2.105, 4
2.14, 5
2.37, 6
2.528, 7
2.58, 8
3.479, 9
3.655, 10
4.115, 11
4.273, 12
4.467, 13
4.89, 14
6.215, 15
7.892, 16
8.086, 17
8.174, 18
8.368, 19
8.386, 20
8.474, 21
8.527, 22
9.886, 23
9.956, 24
10.309, 25
16.313, 23
16.348, 24
16.437, 25
16.755, 26
16.79, 27
16.825, 28
17.019, 29
17.037, 30
18.13, 31
18.377, 32
18.642, 33
18.801, 34
19.119, 35
19.243, 36
19.313, 37
19.86, 38
20.476, 39
21.642, 40
22.048, 41
22.243, 42
22.914, 43
23.197, 44
24.786, 45
30.792, 43
30.81, 44
31.022, 45
31.305, 46
31.322, 47
31.517, 48
31.534, 49
31.605, 50
32.558, 51
32.664, 52
34.059, 53
39.746, 54
40.099, 55
40.276, 56
40.47, 57
40.541, 58
41.512, 59
41.547, 60
41.636, 61
41.724, 62
41.742, 63
47.749, 61
48.437, 62
48.613, 63
48.649, 64
49.426, 65
50.238, 66
51.334, 67
51.458, 68
52.022, 69
54.266, 70
54.831, 71
55.714, 72
56.121, 73
56.492, 74
56.633, 75
56.88, 76
56.95, 77
57.038, 78
57.127, 79
57.745, 80
57.781, 81
59.512, 82
59.76, 83
61.067, 84
61.561, 85
61.897, 86
62.003, 87
62.321, 88
62.339, 89
62.41, 90
63.311, 91
63.929, 92
65.854, 93
67.284, 94
68.838, 95
69.51, 96
70.181, 97
70.34, 98
70.445, 99
70.498, 100
71.347, 101
72.353, 102
72.495, 103
72.918, 104
73.041, 105
73.889, 106
73.995, 107
74.101, 108
74.172, 109
74.207, 110
76.079, 111
76.503, 112
76.521, 113
76.715, 114
77.298, 115
77.758, 116
78.182, 117
78.27, 118
78.323, 119
78.376, 120
78.906, 121
79.578, 122
79.684, 123
79.984, 124
80.425, 125
80.46, 126
80.884, 127
81.236, 128
87.241, 126
87.276, 127
87.329, 128
87.894, 129
87.912, 130
88.053, 131
88.601, 132
88.601, 133
88.671, 134
88.989, 135
89.025, 136
89.343, 137
91.657, 138
92.01, 139
93.261, 140
93.862, 141
93.932, 142
95.54, 143
95.682, 144
101.68, 142
102.386, 143
103.128, 144
104.01, 145
104.91, 146
105.14, 147
105.334, 148
105.529, 149
105.635, 150
105.635, 151
109.362, 152
111.658, 153
117.662, 151
117.839, 152
119.18, 153
120.31, 154
121.439, 155
121.81, 156
121.916, 157
123.929, 158
124.071, 159
125.149, 160
127.233, 161
133.239, 159
134.28, 160
134.669, 161
134.81, 162
135.799, 163
136.082, 164
136.117, 165
136.347, 166
136.559, 167
136.595, 168
136.718, 169
137.195, 170
137.654, 171
138.413, 172
138.59, 173
138.873, 174
139.191, 175
139.208, 176
139.226, 177
140.268, 178
141.327, 179
142.351, 180
142.492, 181
142.598, 182
144.046, 183
144.665, 184
145.828, 185
145.917, 186
146.252, 187
147.083, 188
148.389, 189
154.39, 187
155.237, 188
155.414, 189
155.431, 190
157.004, 191
158.451, 192
158.469, 193
159.526, 194
159.649, 195
160.091, 196
160.126, 197
160.391, 198
160.922, 199
162.105, 200
162.812, 201
166.221, 202
166.309, 203
166.715, 204
166.733, 205
172.724, 203
172.794, 204
172.812, 205
180.299, 201
189.679, 195
189.891, 196
189.891, 197
201.617, 197
