Time, Plan
0.125, 1
1.337, 2
1.408, 3
1.461, 4
1.584, 5
7.596, 3
8.409, 4
9.15, 5
9.221, 6
9.485, 7
9.538, 8
9.643, 9
10.349, 10
11.074, 11
11.18, 12
11.586, 13
11.657, 14
11.851, 15
12.522, 16
12.575, 17
12.804, 18
12.998, 19
13.086, 20
13.28, 21
13.615, 22
13.934, 23
14.057, 24
14.146, 25
15.17, 26
15.629, 27
21.615, 25
21.915, 26
22.021, 27
23.276, 28
23.558, 29
24.177, 30
24.212, 31
24.672, 32
24.724, 33
24.901, 34
25.868, 35
25.956, 36
26.911, 37
26.999, 38
27.758, 39
28.359, 40
28.394, 41
28.5, 42
28.712, 43
28.73, 44
29.066, 45
29.224, 46
29.366, 47
29.419, 48
29.507, 49
30.143, 50
30.178, 51
31.96, 52
37.958, 50
37.976, 51
38.805, 52
38.981, 53
39.95, 54
39.95, 55
40.127, 56
41.187, 57
41.399, 58
44.575, 59
48.053, 60
48.088, 61
48.6, 62
48.848, 63
48.901, 64
48.901, 65
48.919, 66
49.041, 67
49.235, 68
49.288, 69
49.465, 70
50.152, 71
50.223, 72
50.347, 73
50.893, 74
50.911, 75
50.946, 76
51.388, 77
51.617, 78
57.612, 76
58, 77
62.197, 78
62.796, 79
68.797, 77
76.299, 73
77.764, 74
77.782, 75
78.295, 76
78.842, 77
78.86, 78
81.348, 79
81.472, 80
81.859, 81
81.877, 82
81.93, 83
82.018, 84
88.027, 82
88.08, 83
88.805, 84
