Time, Plan
0.401, 1
1.865, 2
1.901, 3
2.696, 4
2.872, 5
3.067, 6
3.102, 7
3.12, 8
3.208, 9
3.437, 10
4.056, 11
4.073, 12
4.091, 13
4.109, 14
4.144, 15
7.623, 16
11.578, 17
11.72, 18
11.984, 19
12.09, 20
12.302, 21
12.32, 22
12.391, 23
18.394, 21
18.535, 22
18.535, 23
18.553, 24
18.677, 25
18.73, 26
18.73, 27
18.8, 28
18.853, 29
19.701, 30
19.772, 31
19.86, 32
20.531, 33
20.549, 34
21.609, 35
23.317, 36
24.094, 37
30.083, 35
30.436, 36
30.453, 37
30.612, 38
30.877, 39
31.089, 40
31.195, 41
31.212, 42
32.605, 43
32.764, 44
33.1, 45
33.206, 46
33.276, 47
33.824, 48
34.089, 49
34.813, 50
34.972, 51
34.99, 52
35.202, 53
35.626, 54
35.856, 55
36.174, 56
42.178, 54
42.284, 55
42.443, 56
43.909, 57
49.899, 55
50.058, 56
53.711, 57
61.213, 57
70.582, 57
82.306, 57
