Time, Plan
0, 1
0, 2
0, 3
0, 4
0, 5
1.059, 3
1.059, 4
1.341, 5
1.428, 6
1.428, 7
1.428, 8
1.446, 9
2.045, 10
2.063, 11
2.063, 12
3.067, 10
3.085, 11
3.102, 12
4.356, 8
4.374, 9
4.391, 10
4.391, 11
4.409, 12
5.98, 6
5.997, 7
6.015, 8
6.139, 9
6.156, 10
6.209, 11
6.245, 12
8.204, 4
8.275, 5
8.275, 6
8.292, 7
8.503, 8
8.521, 9
8.521, 10
8.539, 11
8.926, 12
11.364, 2
11.399, 3
11.417, 4
11.435, 5
11.452, 6
11.752, 7
11.77, 8
11.787, 9
11.805, 10
11.911, 11
11.946, 12
15, 2
15.018, 3
15.035, 4
15.035, 5
15.053, 6
15.071, 7
15.212, 8
15.212, 9
15.23, 10
15.318, 11
15.371, 12
19.185, 2
19.501, 3
19.624, 4
19.642, 5
19.642, 6
19.854, 7
19.854, 8
19.925, 9
20.048, 10
20.189, 11
20.242, 12
