Time, Plan
0.679, 1
3.94, 2
3.992, 3
5.262, 4
5.333, 5
6.832, 6
6.973, 7
6.973, 8
7.026, 9
7.079, 10
7.467, 11
9.284, 12
9.549, 13
9.866, 14
10.255, 15
10.326, 16
10.625, 17
16.628, 15
16.645, 16
17.051, 17
17.651, 18
23.656, 16
24.872, 17
24.943, 18
27.186, 19
28.105, 20
28.14, 21
29.445, 22
29.445, 23
29.744, 24
29.85, 25
30.378, 26
30.819, 27
33.29, 28
33.343, 29
35.404, 30
35.58, 31
35.914, 32
41.912, 30
42.3, 31
42.583, 32
47.156, 33
47.845, 34
48.128, 35
48.764, 36
49.011, 37
49.205, 38
49.205, 39
52.575, 40
53.033, 41
54.058, 42
54.076, 43
