Time, Catch
27.422, 1
29.257, 2
30.527, 3
31.569, 4
32.576, 5
32.964, 6
33.933, 7
34.851, 8
35.045, 9
36.65, 10
36.668, 11
37.534, 12
38.664, 13
39.052, 14
40.395, 15
40.837, 16
41.914, 17
42.232, 18
43.221, 19
44.352, 20
44.847, 21
45.624, 22
46.437, 23
47.108, 24
49.087, 25
49.087, 26
49.741, 27
50.394, 28
51.205, 29
52.58, 30
53.073, 31
53.883, 32
54.676, 33
55.295, 34
56.301, 35
57.167, 36
57.847, 37
58.848, 38
59.783, 39
60.436, 40
61.337, 41
61.972, 42
62.838, 43
64.004, 44
64.816, 45
65.116, 46
66.348, 47
66.909, 48
68.09, 49
68.478, 50
69.326, 51
70.403, 52
70.897, 53
71.725, 54
73.262, 55
73.721, 56
74.638, 57
75.027, 58
75.681, 59
76.634, 60
77.499, 61
78.663, 62
78.805, 63
79.529, 64
81.014, 65
81.861, 66
82.814, 67
82.849, 68
84.121, 69
84.649, 70
85.426, 71
86.395, 72
86.784, 73
87.754, 74
89.007, 75
89.148, 76
90.523, 77
90.647, 78
91.918, 79
92.73, 80
93.243, 81
93.701, 82
94.353, 83
95.52, 84
96.527, 85
97.144, 86
98.13, 87
98.554, 88
99.738, 89
100.496, 90
101.062, 91
101.98, 92
102.245, 93
103.533, 94
104.292, 95
105.155, 96
105.615, 97
106.444, 98
107.646, 99
108.543, 100
108.966, 101
109.461, 102
110.768, 103
111.474, 104
112.231, 105
112.725, 106
113.82, 107
114.226, 108
115.763, 109
116.223, 110
116.541, 111
118.061, 112
118.591, 113
119.525, 114
120.193, 115
120.97, 116
122.415, 117
122.504, 118
123.757, 119
124.058, 120
124.639, 121
125.328, 122
126.511, 123
127.641, 124
127.871, 125
128.877, 126
129.952, 127
130.34, 128
131.24, 129
132.035, 130
132.07, 131
133.622, 132
134.505, 133
135.142, 134
135.969, 135
136.04, 136
137.875, 137
138.247, 138
139.128, 139
140.029, 140
140.277, 141
141.865, 142
142.095, 143
143.048, 144
144.142, 145
144.584, 146
145.802, 147
146.226, 148
146.914, 149
148.006, 150
148.5, 151
149.242, 152
150.637, 153
150.884, 154
152.031, 155
152.226, 156
153.672, 157
154.466, 158
154.996, 159
155.95, 160
156.25, 161
157.645, 162
158.599, 163
158.829, 164
160.083, 165
160.613, 166
161.831, 167
162.325, 168
162.52, 169
164.073, 170
164.161, 171
165.645, 172
166.35, 173
166.95, 174
168.024, 175
168.059, 176
169.365, 177
169.983, 178
170.936, 179
172.059, 180
172.34, 181
173.132, 182
173.626, 183
174.755, 184
175.758, 185
175.964, 186
177.266, 187
177.495, 188
178.797, 189
179.041, 190
180.188, 191
181.653, 192
181.688, 193
182.708, 194
183.025, 195
183.976, 196
185.441, 197
185.547, 198
186.885, 199
186.938, 200
188.043, 201
188.924, 202
