Time, Plan
0.391, 1
2.29, 2
2.307, 3
2.361, 4
2.414, 5
2.572, 6
2.872, 7
3.473, 8
3.491, 9
9.495, 7
9.829, 8
10.111, 9
11.753, 10
12.266, 11
12.495, 12
12.867, 13
12.92, 14
12.99, 15
13.061, 16
19.063, 14
21.005, 15
21.34, 16
21.499, 17
21.534, 18
21.904, 19
21.957, 20
22.01, 21
22.028, 22
22.539, 23
22.715, 24
28.714, 22
29.085, 23
29.156, 24
29.544, 25
29.65, 26
29.809, 27
33.286, 28
33.551, 29
34.589, 30
35.274, 31
35.522, 32
35.557, 33
36.279, 34
42.277, 32
42.348, 33
42.489, 34
42.525, 35
42.595, 36
42.772, 37
43.16, 38
43.567, 39
44.697, 40
44.75, 41
44.891, 42
44.98, 43
45.068, 44
45.368, 45
45.615, 46
45.845, 47
45.916, 48
45.933, 49
46.039, 50
52.042, 48
52.91, 49
52.945, 50
60.441, 46
60.493, 47
60.775, 48
61.656, 49
61.744, 50
62.221, 51
62.486, 52
62.504, 53
62.592, 54
62.804, 55
62.963, 56
63.175, 57
64.057, 58
64.093, 59
64.25, 60
65.165, 61
65.393, 62
65.464, 63
65.658, 64
66.186, 65
66.398, 66
66.415, 67
66.556, 68
66.591, 69
66.874, 70
66.944, 71
66.98, 72
67.28, 73
68.282, 74
68.406, 75
68.477, 76
68.899, 77
68.934, 78
68.969, 79
69.954, 80
70.307, 81
72.226, 82
78.23, 80
78.495, 81
79.343, 82
86.841, 78
86.859, 79
87.617, 80
87.953, 81
89.207, 82
