Time, Catch
17.641, 1
19.777, 2
21.418, 3
21.471, 4
23.203, 5
23.274, 6
24.846, 7
25.393, 8
26.788, 9
27, 10
28.623, 11
29.206, 12
30.726, 13
31.168, 14
32.085, 15
32.828, 16
34.082, 17
34.682, 18
36.427, 19
36.569, 20
37.979, 21
38.402, 22
39.727, 23
40.01, 24
41.845, 25
41.969, 26
43.983, 27
44.301, 28
45.856, 29
45.856, 30
47.304, 31
47.869, 32
49.653, 33
49.9, 34
50.837, 35
51.702, 36
53.309, 37
53.327, 38
54.74, 39
55.022, 40
57.089, 41
57.177, 42
58.588, 43
58.835, 44
60.619, 45
61.078, 46
62.349, 47
62.543, 48
64.398, 49
64.751, 50
66.128, 51
66.358, 52
67.734, 53
68.105, 54
69.517, 55
69.994, 56
71.743, 57
72.202, 58
73.208, 59
73.491, 60
75.452, 61
76.068, 62
76.792, 63
77.729, 64
79.299, 65
79.898, 66
80.638, 67
81.079, 68
83.109, 69
83.428, 70
84.644, 71
84.963, 72
86.973, 73
87.38, 74
88.474, 75
88.598, 76
90.174, 77
91.109, 78
91.568, 79
92.292, 80
93.686, 81
94.727, 82
95.133, 83
95.732, 84
97.051, 85
98.057, 86
98.64, 87
99.663, 88
101.463, 89
102.17, 90
102.647, 91
103.918, 92
104.888, 93
105.682, 94
106.652, 95
107.041, 96
108.649, 97
109.956, 98
110.714, 99
111.226, 100
112.564, 101
113.429, 102
113.941, 103
115.615, 104
116.445, 105
117.569, 106
117.71, 107
119.014, 108
119.917, 109
121.098, 110
121.557, 111
122.312, 112
123.986, 113
124.321, 114
125.503, 115
125.697, 116
127.746, 117
128.31, 118
129.052, 119
129.405, 120
131.382, 121
131.488, 122
132.6, 123
133.306, 124
135.458, 125
135.546, 126
136.57, 127
137.223, 128
139.271, 129
139.377, 130
140.225, 131
141.214, 132
143.279, 133
144.973, 134
150.236, 135
