Time, Plan
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
0, 7
0, 8
0, 9
0, 10
0, 11
0, 12
0.147, 13
0.147, 14
0.147, 15
0.147, 16
0.147, 17
0.147, 18
0.147, 19
0.24, 20
0.24, 21
0.275, 22
0.275, 23
0.275, 24
0.293, 25
0.399, 26
0.452, 27
0.452, 28
0.452, 29
0.488, 30
0.522, 31
0.54, 32
0.575, 33
0.575, 34
0.611, 35
0.611, 36
0.611, 37
0.628, 38
0.628, 39
0.628, 40
0.628, 41
0.628, 42
0.681, 43
0.699, 44
0.699, 45
0.717, 46
0.858, 47
0.875, 48
0.893, 49
0.893, 50
0.911, 51
0.911, 52
0.928, 53
0.964, 54
0.964, 55
1.017, 56
1.017, 57
1.017, 58
1.034, 59
1.034, 60
1.052, 61
1.052, 62
1.07, 63
1.07, 64
1.07, 65
1.14, 66
1.14, 67
1.176, 68
1.352, 69
1.405, 70
1.405, 71
1.441, 72
1.441, 73
1.441, 74
1.441, 75
1.458, 76
1.458, 77
5.445, 75
5.463, 76
5.463, 77
5.463, 78
5.463, 79
6.029, 80
6.029, 81
6.029, 82
6.029, 83
6.046, 84
7.759, 85
7.759, 86
7.759, 87
7.794, 88
7.812, 89
8.042, 90
8.042, 91
8.042, 92
8.059, 93
8.059, 94
8.077, 95
8.077, 96
8.077, 97
8.077, 98
8.077, 99
8.095, 100
8.113, 101
8.148, 102
8.219, 103
8.254, 104
8.254, 105
8.254, 106
8.254, 107
8.254, 108
8.254, 109
8.289, 110
8.289, 111
8.413, 112
8.448, 113
8.466, 114
8.484, 115
8.484, 116
8.501, 117
8.554, 118
8.554, 119
12.558, 117
12.558, 118
12.558, 119
12.611, 120
12.629, 121
12.629, 122
12.629, 123
12.646, 124
12.646, 125
12.664, 126
12.77, 127
12.788, 128
12.823, 129
12.823, 130
12.841, 131
12.841, 132
12.841, 133
12.876, 134
12.894, 135
16.885, 133
16.903, 134
16.903, 135
18.579, 136
18.579, 137
18.614, 138
18.896, 139
18.949, 140
18.967, 141
19.002, 142
23.008, 140
23.026, 141
23.061, 142
28.057, 138
28.305, 139
28.322, 140
28.322, 141
28.34, 142
34.592, 136
34.592, 137
34.592, 138
35.139, 139
35.174, 140
35.174, 141
35.192, 142
42.992, 134
43.01, 135
43.01, 136
43.01, 137
43.098, 138
44.087, 139
44.105, 140
44.105, 141
44.582, 142
54.341, 132
54.376, 133
54.394, 134
54.412, 135
54.429, 136
54.465, 137
54.482, 138
54.642, 139
54.642, 140
54.659, 141
54.659, 142
54.695, 143
54.801, 144
54.801, 145
54.801, 146
54.818, 147
58.806, 145
58.842, 146
58.859, 147
63.87, 143
63.888, 144
63.923, 145
63.941, 146
64.135, 147
64.54, 148
64.611, 149
64.611, 150
64.699, 151
64.699, 152
64.699, 153
64.699, 154
64.769, 155
64.769, 156
64.928, 157
64.928, 158
64.999, 159
65.034, 160
65.034, 161
65.07, 162
65.07, 163
65.087, 164
65.176, 165
65.176, 166
65.176, 167
65.246, 168
65.246, 169
65.264, 170
65.264, 171
65.546, 172
65.546, 173
65.581, 174
65.581, 175
65.581, 176
65.581, 177
65.599, 178
65.599, 179
65.617, 180
65.617, 181
65.617, 182
65.617, 183
65.67, 184
65.67, 185
65.687, 186
65.687, 187
65.687, 188
65.704, 189
65.704, 190
65.863, 191
65.881, 192
65.881, 193
65.916, 194
65.952, 195
65.952, 196
65.952, 197
65.987, 198
65.987, 199
66.005, 200
66.022, 201
66.04, 202
66.04, 203
66.058, 204
66.181, 205
66.181, 206
66.198, 207
66.198, 208
66.216, 209
66.287, 210
66.517, 211
66.623, 212
66.623, 213
66.676, 214
66.676, 215
66.693, 216
66.711, 217
66.711, 218
66.87, 219
70.873, 217
70.873, 218
70.961, 219
75.959, 215
75.976, 216
75.976, 217
76.012, 218
76.612, 219
76.612, 220
76.629, 221
76.647, 222
76.7, 223
76.7, 224
76.7, 225
76.7, 226
76.7, 227
76.753, 228
76.753, 229
76.753, 230
76.806, 231
76.824, 232
76.824, 233
77.071, 234
77.089, 235
77.106, 236
77.124, 237
77.124, 238
77.124, 239
77.142, 240
77.142, 241
77.142, 242
77.159, 243
77.283, 244
77.283, 245
77.319, 246
77.336, 247
77.336, 248
77.354, 249
77.354, 250
77.354, 251
77.442, 252
77.459, 253
77.477, 254
77.477, 255
77.599, 256
79.61, 257
79.662, 258
80.702, 259
80.72, 260
82.757, 261
82.775, 262
84.821, 263
84.821, 264
86.862, 265
86.95, 266
88.958, 267
88.993, 268
89.018, 269
89.018, 270
93.078, 271
93.078, 272
94.135, 273
94.153, 274
96.212, 275
96.212, 276
101.218, 274
101.235, 275
101.27, 276
106.256, 272
106.362, 273
106.379, 274
106.397, 275
106.486, 276
112.727, 270
112.815, 271
112.938, 272
112.938, 273
113.114, 274
113.132, 275
113.291, 276
121.103, 268
121.103, 269
121.155, 270
121.226, 271
121.261, 272
125.684, 273
125.702, 274
125.702, 275
125.702, 276
135.471, 266
135.471, 267
135.489, 268
135.542, 269
135.56, 270
135.56, 271
135.56, 272
135.613, 273
135.719, 274
135.719, 275
135.736, 276
135.736, 277
135.736, 278
139.753, 276
139.753, 277
139.771, 278
139.841, 279
143.858, 277
143.858, 278
143.929, 279
148.93, 275
148.93, 276
148.948, 277
148.948, 278
151.945, 279
158.202, 273
158.273, 274
158.273, 275
158.397, 276
158.397, 277
158.45, 278
158.485, 279
158.538, 280
158.556, 281
160.248, 282
160.371, 283
160.371, 284
160.406, 285
160.424, 286
160.459, 287
160.459, 288
164.461, 286
164.479, 287
164.496, 288
169.492, 284
169.509, 285
169.527, 286
169.527, 287
169.527, 288
175.777, 282
175.883, 283
175.883, 284
175.954, 285
175.971, 286
175.971, 287
175.971, 288
183.788, 280
183.788, 281
183.788, 282
183.859, 283
183.947, 284
183.983, 285
184, 286
184.018, 287
184.018, 288
193.792, 278
193.863, 279
193.88, 280
193.88, 281
193.88, 282
193.95, 283
193.968, 284
193.968, 285
194.003, 286
194.003, 287
194.003, 288
195.116, 289
199.119, 287
199.119, 288
199.437, 289
204.429, 285
204.429, 286
204.446, 287
204.446, 288
210.709, 282
210.779, 283
210.814, 284
210.832, 285
210.85, 286
210.885, 287
210.885, 288
218.701, 280
218.718, 281
218.718, 282
218.806, 283
218.806, 284
218.824, 285
218.841, 286
218.877, 287
218.894, 288
218.93, 289
218.965, 290
219.018, 291
219.036, 292
219.053, 293
219.071, 294
219.071, 295
219.177, 296
219.212, 297
223.214, 295
223.214, 296
223.267, 297
223.759, 298
223.759, 299
223.812, 300
223.918, 301
223.989, 302
223.989, 303
223.989, 304
223.989, 305
224.06, 306
224.06, 307
224.06, 308
226.102, 309
226.155, 310
226.155, 311
226.155, 312
226.155, 313
226.172, 314
226.19, 315
226.19, 316
230.189, 314
230.189, 315
230.278, 316
235.287, 312
235.305, 313
235.322, 314
235.322, 315
235.34, 316
241.593, 310
241.593, 311
241.611, 312
241.611, 313
