Time, Catch
32.632, 1
34.098, 2
35.105, 3
36.481, 4
36.958, 5
37.612, 6
38.141, 7
39.182, 8
40.011, 9
40.752, 10
40.929, 11
41.882, 12
42.677, 13
43.382, 14
44.211, 15
45.289, 16
45.394, 17
46.225, 18
46.983, 19
47.69, 20
48.025, 21
49.049, 22
49.559, 23
50.795, 24
51.202, 25
52.031, 26
52.791, 27
53.463, 28
53.516, 29
54.945, 30
55.174, 31
56.338, 32
56.727, 33
57.751, 34
57.874, 35
59.389, 36
59.653, 37
60.218, 38
60.836, 39
61.647, 40
62.265, 41
63.378, 42
63.555, 43
64.893, 44
65.211, 45
66.129, 46
67.03, 47
68.143, 48
68.335, 49
68.898, 50
69.287, 51
70.47, 52
71.389, 53
71.829, 54
72.622, 55
73.488, 56
73.488, 57
74.653, 58
75.272, 59
75.872, 60
76.542, 61
77.284, 62
77.866, 63
78.768, 64
79.209, 65
80.32, 66
80.532, 67
81.891, 68
82.332, 69
82.913, 70
83.532, 71
84.467, 72
85.067, 73
86.232, 74
86.479, 75
87.434, 76
87.699, 77
89.04, 78
89.128, 79
90.418, 80
90.666, 81
91.814, 82
92.238, 83
93.103, 84
93.227, 85
94.499, 86
