Time, Catch
22.796, 1
24.491, 2
26.309, 3
26.326, 4
27.987, 5
28.552, 6
30.282, 7
30.721, 8
31.374, 9
32.575, 10
34.5, 11
34.5, 12
35.363, 13
36.193, 14
38.559, 15
38.788, 16
39.579, 17
40.142, 18
42.048, 19
42.666, 20
43.565, 21
43.972, 22
46.002, 23
46.143, 24
47.327, 25
47.733, 26
49.831, 27
50.13, 28
50.941, 29
51.363, 30
53.724, 31
54.201, 32
54.675, 33
54.799, 34
57.001, 35
57.989, 36
58.448, 37
59.278, 38
60.902, 39
61.485, 40
62.652, 41
62.952, 42
64.329, 43
65, 44
66.413, 45
67.119, 46
68.303, 47
68.974, 48
70.634, 49
70.827, 50
72.169, 51
72.944, 52
74.25, 53
74.78, 54
76.051, 55
77.109, 56
77.286, 57
78.327, 58
79.915, 59
80.638, 60
81.326, 61
82.173, 62
83.975, 63
84.662, 64
85.261, 65
86.388, 66
87.73, 67
88.172, 68
89.106, 69
90.322, 70
91.999, 71
92.617, 72
92.846, 73
93.745, 74
94.98, 75
96.604, 76
97.081, 77
97.311, 78
99.024, 79
100.33, 80
100.613, 81
101.549, 82
103.208, 83
104.109, 84
104.41, 85
105.927, 86
106.561, 87
107.444, 88
108.096, 89
109.224, 90
110.732, 91
111.613, 92
112.108, 93
112.638, 94
113.906, 95
114.771, 96
116.037, 97
116.566, 98
118.031, 99
119.373, 100
120.486, 101
120.839, 102
122.27, 103
122.287, 104
124.033, 105
124.457, 106
125.763, 107
125.798, 108
128.233, 109
128.602, 110
129.907, 111
130.261, 112
131.462, 113
132.239, 114
133.862, 115
133.898, 116
135.629, 117
135.965, 118
137.727, 119
137.886, 120
139.421, 121
139.913, 122
141.431, 123
141.802, 124
143.779, 125
143.973, 126
144.961, 127
145.615, 128
147.161, 129
147.461, 130
149.189, 131
149.489, 132
151.076, 133
151.642, 134
153.037, 135
153.479, 136
154.922, 137
155.487, 138
156.95, 139
156.95, 140
158.837, 141
159.155, 142
160.639, 143
160.763, 144
162.689, 145
163.166, 146
164.367, 147
164.42, 148
166.61, 149
167.37, 150
168.093, 151
168.251, 152
169.572, 153
170.858, 154
