Time, Plan
0, 1
0, 2
0, 3
0, 4
0.135, 5
0.186, 6
0.186, 7
0.186, 8
0.204, 9
0.222, 10
0.222, 11
0.222, 12
0.243, 13
0.243, 14
0.243, 15
0.257, 16
0.292, 17
0.82, 18
0.838, 19
0.855, 20
0.855, 21
0.855, 22
0.855, 23
0.855, 24
0.855, 25
0.855, 26
0.855, 27
0.926, 28
0.926, 29
0.943, 30
0.943, 31
0.943, 32
0.961, 33
0.961, 34
0.961, 35
0.961, 36
0.961, 37
0.961, 38
0.961, 39
0.978, 40
0.978, 41
0.978, 42
0.978, 43
0.996, 44
0.996, 45
0.996, 46
0.996, 47
0.996, 48
0.996, 49
0.996, 50
1.014, 51
1.014, 52
1.155, 53
1.155, 54
1.155, 55
1.155, 56
1.173, 57
1.173, 58
1.173, 59
1.173, 60
1.173, 61
1.19, 62
1.19, 63
1.19, 64
1.19, 65
1.19, 66
1.208, 67
1.208, 68
1.208, 69
1.208, 70
1.226, 71
1.243, 72
1.243, 73
1.314, 74
1.314, 75
1.314, 76
1.314, 77
1.314, 78
1.349, 79
1.367, 80
1.385, 81
1.385, 82
1.385, 83
1.385, 84
1.402, 85
1.42, 86
1.42, 87
1.473, 88
1.473, 89
1.473, 90
1.473, 91
1.473, 92
1.473, 93
1.614, 94
1.614, 95
1.614, 96
1.631, 97
1.631, 98
1.631, 99
1.631, 100
1.667, 101
1.684, 102
1.684, 103
1.702, 104
1.702, 105
1.72, 106
2.036, 107
2.036, 108
2.036, 109
2.054, 110
2.054, 111
2.054, 112
2.054, 113
2.054, 114
3.059, 112
3.059, 113
3.112, 114
3.112, 115
3.183, 116
3.183, 117
3.324, 118
3.342, 119
3.342, 120
3.342, 121
3.342, 122
3.377, 123
3.377, 124
3.377, 125
3.377, 126
3.394, 127
3.394, 128
3.412, 129
3.43, 130
3.43, 131
3.518, 132
4.525, 130
4.56, 131
4.56, 132
5.812, 128
5.83, 129
5.883, 130
5.883, 131
5.883, 132
7.453, 126
7.453, 127
7.453, 128
7.542, 129
7.542, 130
7.542, 131
7.542, 132
9.484, 124
9.484, 125
9.501, 126
9.59, 127
9.731, 128
9.731, 129
9.855, 130
9.855, 131
9.908, 132
12.344, 122
12.344, 123
12.344, 124
12.379, 125
12.379, 126
12.397, 127
12.397, 128
12.397, 129
12.397, 130
12.397, 131
12.397, 132
12.397, 133
12.432, 134
12.467, 135
12.467, 136
12.485, 137
12.485, 138
12.503, 139
12.538, 140
12.538, 141
12.556, 142
12.591, 143
12.591, 144
12.591, 145
12.591, 146
12.609, 147
12.609, 148
12.609, 149
12.626, 150
12.626, 151
12.626, 152
12.626, 153
12.644, 154
12.644, 155
12.644, 156
12.662, 157
12.662, 158
12.962, 159
12.98, 160
13.368, 161
13.386, 162
13.386, 163
13.386, 164
13.386, 165
13.386, 166
13.386, 167
13.421, 168
13.439, 169
13.457, 170
13.457, 171
13.474, 172
13.492, 173
13.492, 174
13.492, 175
13.58, 176
13.58, 177
13.58, 178
13.633, 179
13.668, 180
13.685, 181
13.685, 182
13.685, 183
13.703, 184
13.703, 185
13.721, 186
13.862, 187
13.88, 188
13.88, 189
13.933, 190
13.933, 191
13.933, 192
13.95, 193
13.95, 194
13.95, 195
13.95, 196
13.968, 197
13.968, 198
13.968, 199
13.968, 200
24.028, 201
24.028, 202
27.048, 203
27.065, 204
29.088, 205
29.088, 206
31.091, 207
31.108, 208
33.13, 209
33.166, 210
