Time, Catch
22.796, 1
24.471, 2
26.325, 3
26.537, 4
28.177, 5
28.687, 6
30.206, 7
30.736, 8
32.041, 9
32.483, 10
33.983, 11
34.212, 12
35.714, 13
36.455, 14
37.744, 15
38.097, 16
39.084, 17
40.761, 18
41.855, 19
41.873, 20
43.268, 21
44.945, 22
45.597, 23
46.055, 24
47.132, 25
49.138, 26
49.472, 27
49.718, 28
51.04, 29
52.418, 30
53.442, 31
53.53, 32
54.537, 33
56.388, 34
57.536, 35
57.801, 36
58.419, 37
60.715, 38
61.333, 39
61.598, 40
62.216, 41
64.229, 42
64.988, 43
65.801, 44
66.242, 45
68.185, 46
68.485, 47
69.104, 48
70.322, 49
71.381, 50
72.582, 51
73.146, 52
74.082, 53
75.636, 54
77.065, 55
77.242, 56
77.947, 57
79.359, 58
80.627, 59
80.945, 60
81.791, 61
82.919, 62
84.542, 63
84.877, 64
85.548, 65
86.836, 66
88.302, 67
88.389, 68
89.854, 69
90.525, 70
91.408, 71
91.814, 72
93.492, 73
94.568, 74
95.575, 75
96.052, 76
97.853, 77
98.399, 78
99.668, 79
100.057, 80
101.382, 81
102.442, 82
103.236, 83
103.413, 84
105.037, 85
105.513, 86
107.349, 87
107.437, 88
108.583, 89
109.287, 90
111.105, 91
111.194, 92
112.464, 93
113.577, 94
114.725, 95
114.725, 96
116.207, 97
117.812, 98
118.378, 99
119.242, 100
119.826, 101
121.392, 102
122.326, 103
122.855, 104
123.702, 105
125.681, 106
126.494, 107
126.581, 108
128.063, 109
129.737, 110
129.985, 111
130.391, 112
131.432, 113
133.322, 114
134.202, 115
134.66, 116
136.089, 117
137.272, 118
