Time, Plan
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
0.125, 7
0.125, 8
0.125, 9
0.125, 10
0.158, 11
0.158, 12
0.158, 13
0.263, 14
0.263, 15
0.263, 16
0.281, 17
0.299, 18
0.333, 19
0.368, 20
0.421, 21
0.454, 22
0.472, 23
0.472, 24
0.49, 25
0.49, 26
0.49, 27
0.49, 28
0.49, 29
0.507, 30
0.507, 31
0.525, 32
0.525, 33
0.543, 34
0.772, 35
0.79, 36
0.807, 37
0.807, 38
0.825, 39
0.825, 40
0.843, 41
0.843, 42
0.843, 43
0.843, 44
0.843, 45
0.843, 46
0.86, 47
0.86, 48
0.86, 49
0.949, 50
1.055, 51
1.301, 52
1.319, 53
1.319, 54
1.425, 55
1.425, 56
1.442, 57
1.442, 58
1.566, 59
3.575, 57
3.575, 58
4.811, 59
7.317, 55
7.352, 56
7.352, 57
7.37, 58
7.847, 59
7.9, 60
7.918, 61
7.918, 62
7.935, 63
7.935, 64
7.953, 65
7.953, 66
7.988, 67
8.006, 68
8.024, 69
8.024, 70
8.041, 71
9.345, 72
9.345, 73
9.345, 74
9.345, 75
9.362, 76
9.38, 77
9.398, 78
9.415, 79
9.451, 80
9.451, 81
9.468, 82
9.468, 83
9.486, 84
9.504, 85
9.539, 86
9.557, 87
9.574, 88
9.592, 89
9.61, 90
9.663, 91
9.68, 92
9.698, 93
9.716, 94
9.733, 95
9.733, 96
9.786, 97
9.786, 98
9.786, 99
9.786, 100
9.786, 101
9.804, 102
9.804, 103
9.804, 104
9.822, 105
9.822, 106
10.016, 107
10.016, 108
10.016, 109
10.016, 110
10.069, 111
10.087, 112
10.087, 113
10.104, 114
12.099, 112
12.169, 113
12.169, 114
14.659, 110
14.694, 111
14.712, 112
14.729, 113
14.729, 114
17.852, 108
17.905, 109
17.922, 110
17.94, 111
21.836, 103
21.853, 104
21.853, 105
21.871, 106
21.906, 107
22.03, 108
22.03, 109
22.171, 110
22.189, 111
22.189, 112
22.189, 113
22.224, 114
22.295, 115
22.313, 116
22.331, 117
22.454, 118
22.454, 119
22.472, 120
22.472, 121
22.578, 122
22.596, 123
22.613, 124
22.613, 125
22.613, 126
22.613, 127
22.666, 128
22.86, 129
22.878, 130
22.896, 131
22.931, 132
22.967, 133
22.967, 134
22.967, 135
22.984, 136
22.984, 137
23.108, 138
23.108, 139
23.108, 140
23.108, 141
23.126, 142
23.126, 143
23.126, 144
23.143, 145
23.161, 146
23.161, 147
23.179, 148
23.179, 149
23.196, 150
23.32, 151
23.338, 152
23.355, 153
23.355, 154
23.373, 155
23.391, 156
23.408, 157
23.514, 158
23.514, 159
23.532, 160
23.55, 161
23.585, 162
23.603, 163
23.603, 164
23.638, 165
23.638, 166
23.656, 167
23.656, 168
23.673, 169
23.709, 170
23.762, 171
23.762, 172
23.779, 173
23.797, 174
23.868, 175
23.868, 176
23.886, 177
25.881, 175
25.987, 176
25.987, 177
26.005, 178
26.058, 179
26.076, 180
26.111, 181
26.146, 182
26.164, 183
26.164, 184
28.177, 182
28.177, 183
28.194, 184
30.702, 180
30.738, 181
30.738, 182
30.755, 183
30.808, 184
33.926, 178
33.979, 179
33.979, 180
34.014, 181
34.014, 182
34.014, 183
34.032, 184
37.951, 176
37.968, 177
42.842, 167
42.842, 168
42.859, 169
42.877, 170
42.877, 171
42.895, 172
42.895, 173
42.912, 174
42.912, 175
42.912, 176
42.93, 177
42.948, 178
42.965, 179
42.965, 180
43.001, 181
43.001, 182
43.018, 183
43.018, 184
43.036, 185
43.071, 186
43.248, 187
43.248, 188
43.248, 189
43.283, 190
43.442, 191
43.46, 192
43.46, 193
43.477, 194
43.477, 195
45.474, 193
45.509, 194
45.544, 195
45.597, 196
45.597, 197
45.615, 198
45.633, 199
45.686, 200
45.686, 201
45.739, 202
45.739, 203
45.739, 204
45.862, 205
45.862, 206
45.898, 207
45.898, 208
45.932, 209
45.932, 210
45.932, 211
45.932, 212
45.95, 213
45.95, 214
45.95, 215
45.95, 216
45.985, 217
46.021, 218
46.021, 219
48.031, 217
48.067, 218
48.084, 219
48.084, 220
48.102, 221
48.102, 222
48.12, 223
48.137, 224
49.176, 225
49.282, 226
50.322, 227
50.357, 228
52.384, 229
52.384, 230
54.4, 231
54.47, 232
56.511, 233
56.528, 234
