Time, Plan
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
0, 7
0.193, 8
0.193, 9
0.193, 10
0.193, 11
0.193, 12
0.193, 13
0.193, 14
0.193, 15
0.193, 16
0.262, 17
0.262, 18
0.495, 19
0.527, 20
0.545, 21
0.545, 22
0.545, 23
0.562, 24
0.562, 25
0.562, 26
0.58, 27
0.598, 28
0.598, 29
0.598, 30
1.605, 28
1.605, 29
1.605, 30
2.859, 26
2.877, 27
2.877, 28
2.877, 29
2.877, 30
4.445, 24
4.445, 25
4.462, 26
4.462, 27
4.462, 28
4.48, 29
4.515, 30
4.515, 31
5.502, 29
5.502, 30
5.519, 31
6.771, 27
6.806, 28
6.806, 29
6.806, 30
8.377, 24
8.412, 25
8.412, 26
8.43, 27
8.43, 28
8.43, 29
8.447, 30
10.404, 22
10.404, 23
12.84, 13
12.84, 14
12.84, 15
12.858, 16
12.858, 17
12.858, 18
12.858, 19
12.928, 20
12.928, 21
12.928, 22
13.211, 23
14.445, 24
14.445, 25
14.445, 26
14.463, 27
14.463, 28
14.779, 29
14.797, 30
14.797, 31
14.797, 32
14.797, 33
14.797, 34
14.797, 35
15.803, 33
15.803, 34
15.803, 35
17.054, 31
17.054, 32
17.054, 33
17.054, 34
17.089, 35
18.643, 29
18.749, 30
18.749, 31
18.767, 32
18.767, 33
18.767, 34
18.767, 35
20.727, 27
20.744, 28
21.451, 29
21.468, 30
21.468, 31
21.486, 32
21.486, 33
23.712, 34
23.729, 35
23.729, 36
23.729, 37
23.729, 38
23.747, 39
23.782, 40
23.782, 41
23.8, 42
23.8, 43
23.8, 44
23.8, 45
24.807, 43
24.825, 44
24.825, 45
26.077, 41
26.113, 42
26.113, 43
26.113, 44
26.148, 45
27.703, 39
27.721, 40
27.721, 41
27.721, 42
27.756, 43
27.756, 44
27.774, 45
28.145, 46
28.233, 47
28.251, 48
28.251, 49
28.375, 50
28.445, 51
28.516, 52
28.516, 53
28.569, 54
28.587, 55
28.604, 56
28.604, 57
28.604, 58
28.604, 59
28.799, 60
28.852, 61
28.852, 62
28.852, 63
28.852, 64
28.869, 65
28.887, 66
29.011, 67
29.029, 68
29.029, 69
29.029, 70
29.046, 71
29.064, 72
29.064, 73
29.17, 74
29.188, 75
29.205, 76
29.205, 77
29.205, 78
29.205, 79
29.205, 80
29.223, 81
29.894, 82
29.894, 83
29.894, 84
29.911, 85
29.929, 86
30, 87
30, 88
30, 89
30.017, 90
30.017, 91
31.024, 89
31.024, 90
31.024, 91
31.024, 92
31.042, 93
31.042, 94
31.059, 95
31.059, 96
31.095, 97
32.102, 95
32.102, 96
32.137, 97
32.137, 98
32.137, 99
32.155, 100
32.155, 101
32.155, 102
32.155, 103
32.243, 104
32.243, 105
32.243, 106
32.261, 107
32.261, 108
32.314, 109
32.332, 110
32.349, 111
32.349, 112
32.367, 113
32.367, 114
32.403, 115
32.42, 116
33.409, 114
33.427, 115
33.444, 116
34.698, 112
34.698, 113
34.716, 114
34.734, 115
36.287, 109
36.287, 110
36.287, 111
36.34, 112
36.34, 113
36.34, 114
36.34, 115
36.464, 116
38.406, 108
38.688, 109
38.759, 110
38.759, 111
38.759, 112
38.777, 113
38.777, 114
38.777, 115
38.777, 116
41.229, 106
41.229, 107
41.229, 108
44.282, 96
44.317, 97
44.317, 98
44.317, 99
44.317, 100
44.317, 101
44.317, 102
44.317, 103
44.317, 104
44.335, 105
44.335, 106
44.353, 107
44.353, 108
44.494, 109
48.308, 95
48.308, 96
48.343, 97
50.866, 98
50.866, 99
50.866, 100
50.884, 101
50.972, 102
50.99, 103
51.007, 104
51.502, 105
51.537, 106
51.537, 107
51.555, 108
54.046, 109
54.046, 110
54.099, 111
54.134, 112
54.134, 113
54.152, 114
54.152, 115
54.276, 116
54.311, 117
54.311, 118
54.311, 119
54.311, 120
55.314, 118
55.332, 119
55.332, 120
55.349, 121
56.179, 122
56.179, 123
56.197, 124
57.204, 122
57.204, 123
57.204, 124
57.221, 125
57.221, 126
57.221, 127
57.239, 128
58.245, 126
58.245, 127
58.245, 128
58.245, 129
59.248, 127
59.319, 128
59.319, 129
59.337, 130
59.337, 131
59.337, 132
59.354, 133
59.371, 134
59.371, 135
59.424, 136
60.429, 134
60.429, 135
60.429, 136
61.682, 132
61.753, 133
61.753, 134
61.753, 135
61.753, 136
63.325, 130
63.325, 131
63.325, 132
63.343, 133
63.343, 134
63.361, 135
63.449, 136
65.388, 128
65.405, 129
65.423, 130
65.423, 131
65.423, 132
65.511, 133
65.529, 134
65.529, 135
65.547, 136
67.984, 126
67.984, 127
68.001, 128
68.037, 129
68.178, 130
68.178, 131
68.196, 132
68.476, 133
68.494, 134
68.494, 135
68.494, 136
71.547, 124
71.617, 125
71.635, 126
71.635, 127
71.653, 128
71.987, 129
71.987, 130
71.987, 131
71.987, 132
72.463, 133
72.498, 134
72.534, 135
72.534, 136
76.365, 122
76.365, 123
76.365, 124
81.133, 108
87.098, 90
87.116, 91
87.116, 92
87.116, 93
87.116, 94
87.116, 95
87.116, 96
87.116, 97
87.116, 98
87.116, 99
87.151, 100
87.169, 101
87.186, 102
87.186, 103
87.186, 104
87.186, 105
87.204, 106
87.416, 107
94.87, 87
94.87, 88
