Time, Catch
12.101, 1
15.05, 2
15.88, 3
17.892, 4
18.774, 5
19.938, 6
21.703, 7
22.462, 8
24.049, 9
25.85, 10
26.467, 11
27.934, 12
29.293, 13
30.848, 14
31.855, 15
33.286, 16
34.31, 17
35.795, 18
36.572, 19
38.462, 20
39.838, 21
40.774, 22
42.113, 23
43.455, 24
44.233, 25
45.857, 26
46.952, 27
47.976, 28
49.69, 29
50.309, 30
51.933, 31
53.662, 32
54.138, 33
55.286, 34
57.829, 35
57.988, 36
59.417, 37
61.625, 38
61.695, 39
63.586, 40
64.857, 41
65.228, 42
66.886, 43
68.882, 44
69.147, 45
70.384, 46
72.644, 47
73.421, 48
74.922, 49
76.829, 50
76.865, 51
78.4, 52
80.468, 53
80.521, 54
81.792, 55
84.494, 56
84.882, 57
85.872, 58
87.78, 59
88.062, 60
89.6, 61
91.12, 62
91.879, 63
93.557, 64
94.705, 65
95.605, 66
97.441, 67
98.978, 68
99.101, 69
100.674, 70
102.622, 71
102.798, 72
103.999, 73
106.1, 74
106.401, 75
107.744, 76
109.617, 77
109.829, 78
111.648, 79
113.519, 80
113.802, 81
115.301, 82
116.835, 83
116.87, 84
119.412, 85
119.854, 86
120.56, 87
122.926, 88
123.545, 89
124.657, 90
126.704, 91
127.64, 92
128.24, 93
130.394, 94
131.136, 95
131.949, 96
134.225, 97
135.055, 98
135.656, 99
137.952, 100
138.73, 101
139.684, 102
142.065, 103
142.807, 104
143.461, 105
145.544, 106
146.427, 107
146.975, 108
149.181, 109
150.064, 110
150.593, 111
152.851, 112
154.157, 113
154.615, 114
156.7, 115
157.811, 116
158.713, 117
160.975, 118
161.802, 119
162.314, 120
164.149, 121
165.916, 122
166.604, 123
167.911, 124
169.303, 125
170.203, 126
171.174, 127
173.631, 128
174.303, 129
175.115, 130
177.094, 131
178.207, 132
178.401, 133
180.503, 134
181.28, 135
182.551, 136
184.247, 137
185.589, 138
186.26, 139
188.451, 140
189.44, 141
190.147, 142
192.125, 143
193.113, 144
194.474, 145
195.604, 146
197.176, 147
198.147, 148
199.523, 149
200.601, 150
201.325, 151
203.409, 152
204.098, 153
204.787, 154
207.191, 155
208.145, 156
208.957, 157
211.094, 158
211.977, 159
212.754, 160
214.556, 161
215.509, 162
216.92, 163
218.033, 164
219.162, 165
220.239, 166
221.857, 167
223.262, 168
223.739, 169
226.051, 170
226.81, 171
228.189, 172
229.424, 173
230.326, 174
231.633, 175
232.993, 176
234.07, 177
235.621, 178
236.239, 179
237.864, 180
239.594, 181
240.018, 182
241.819, 183
243.248, 184
243.883, 185
245.456, 186
246.197, 187
247.875, 188
249.216, 189
249.711, 190
251.601, 191
252.731, 192
253.773, 193
255.257, 194
255.946, 195
258.011, 196
258.823, 197
259.459, 198
261.932, 199
262.249, 200
263.165, 201
265.37, 202
266.197, 203
266.797, 204
269.566, 205
270.162, 206
270.443, 207
273.515, 208
274.078, 209
274.413, 210
277.247, 211
277.247, 212
278.462, 213
280.67, 214
280.986, 215
282.112, 216
284.403, 217
284.683, 218
286.237, 219
287.77, 220
288.688, 221
289.321, 222
291.349, 223
292.389, 224
293.709, 225
294.889, 226
295.772, 227
297.281, 228
298.763, 229
300.094, 230
301.297, 231
302.639, 232
303.375, 233
305.201, 234
306.512, 235
308.158, 236
309.346, 237
310.507, 238
311.799, 239
313.324, 240
314.549, 241
314.931, 242
316.638, 243
318.078, 244
318.786, 245
320.977, 246
322.331, 247
323.12, 248
324.513, 249
325.872, 250
326.449, 251
328.105, 252
329.971, 253
329.971, 254
331.779, 255
333.569, 256
333.588, 257
335.913, 258
337.418, 259
337.455, 260
339.527, 261
341.275, 262
341.35, 263
343.78, 264
344.55, 265
344.994, 266
347.321, 267
348.437, 268
348.773, 269
351.408, 270
351.5, 271
352.769, 272
355.057, 273
355.511, 274
356.795, 275
358.93, 276
359.117, 277
360.364, 278
362.639, 279
362.993, 280
364.336, 281
366.382, 282
366.453, 283
368.127, 284
369.931, 285
370.229, 286
371.927, 287
373.978, 288
373.997, 289
376.342, 290
377.318, 291
377.775, 292
379.157, 293
381.182, 294
381.331, 295
382.581, 296
384.89, 297
385.151, 298
386.995, 299
388.67, 300
389.676, 301
390.607, 302
392.732, 303
393.235, 304
394.502, 305
396.743, 306
397.098, 307
