Time, Catch
22.708, 1
24.527, 2
25.92, 3
26.45, 4
28.411, 5
28.464, 6
29.964, 7
30.477, 8
32.154, 9
32.19, 10
33.621, 11
33.975, 12
35.863, 13
36.163, 14
37.294, 15
38.052, 16
39.816, 17
40.08, 18
41.068, 19
42.321, 20
43.38, 21
44.016, 22
45.217, 23
46.239, 24
47.49, 25
48.179, 26
49.15, 27
49.609, 28
51.216, 29
51.481, 30
52.999, 31
53.546, 32
54.889, 33
55.454, 34
56.707, 35
56.972, 36
59.001, 37
59.178, 38
60.288, 39
60.924, 40
62.546, 41
62.741, 42
64.505, 43
64.84, 44
66.11, 45
66.799, 46
68.361, 47
68.591, 48
69.99, 49
70.784, 50
71.824, 51
72.531, 52
74.458, 53
74.528, 54
75.658, 55
76.065, 56
77.9, 57
78.076, 58
79.54, 59
79.997, 60
82.144, 61
82.178, 62
83.55, 63
84.097, 64
85.172, 65
85.859, 66
87.461, 67
87.848, 68
88.641, 69
90.033, 70
91.653, 71
91.723, 72
92.78, 73
93.82, 74
95.033, 75
95.368, 76
96.159, 77
97.624, 78
98.733, 79
98.945, 80
100.354, 81
101.484, 82
103.019, 83
103.107, 84
104.054, 85
105.305, 86
106.609, 87
106.856, 88
108.371, 89
109.005, 90
110.47, 91
111.05, 92
112.375, 93
112.885, 94
114.242, 95
114.892, 96
116.143, 97
116.672, 98
118.207, 99
118.384, 100
120.166, 101
120.396, 102
122.037, 103
122.196, 104
123.974, 105
124.044, 106
125.931, 107
126.107, 108
127.812, 109
127.9, 110
129.857, 111
130.122, 112
131.42, 113
131.509, 114
133.765, 115
134.011, 116
135.242, 117
135.507, 118
137.498, 119
137.762, 120
139.403, 121
139.437, 122
141.462, 123
141.533, 124
143.084, 125
143.33, 126
145.019, 127
145.194, 128
146.586, 129
146.902, 130
148.824, 131
149.036, 132
150.145, 133
150.428, 134
152.648, 135
152.805, 136
153.899, 137
154.322, 138
156.44, 139
157.127, 140
157.727, 141
158.185, 142
160.054, 143
161.271, 144
161.957, 145
162.222, 146
164.196, 147
164.691, 148
165.786, 149
166.086, 150
167.588, 151
168.347, 152
169.422, 153
169.562, 154
171.153, 155
171.701, 156
173.395, 157
173.642, 158
174.683, 159
175.318, 160
176.96, 161
177.119, 162
178.759, 163
179.236, 164
180.826, 165
180.879, 166
182.468, 167
183.384, 168
184.671, 169
184.795, 170
186.542, 171
186.984, 172
188.485, 173
189.138, 174
190.286, 175
190.849, 176
192.314, 177
192.752, 178
194.003, 179
194.798, 180
196.139, 181
196.35, 182
197.744, 183
198.555, 184
199.596, 185
200.144, 186
201.361, 187
201.678, 188
203.918, 189
204.059, 190
205.011, 191
205.804, 192
207.179, 193
207.744, 194
209.384, 195
209.738, 196
211.133, 197
211.557, 198
212.74, 199
214.097, 200
215.367, 201
215.932, 202
216.902, 203
217.766, 204
218.841, 205
219.495, 206
220.976, 207
221.963, 208
223.302, 209
223.742, 210
224.817, 211
225.801, 212
226.47, 213
227.017, 214
228.833, 215
229.202, 216
230.576, 217
230.911, 218
232.603, 219
232.939, 220
234.158, 221
234.688, 222
236.591, 223
236.768, 224
238.145, 225
238.496, 226
239.992, 227
240.415, 228
241.664, 229
241.752, 230
243.828, 231
243.846, 232
245.588, 233
245.853, 234
247.384, 235
247.384, 236
249.213, 237
249.601, 238
251.081, 239
251.433, 240
253.039, 241
253.406, 242
254.83, 243
255.466, 244
257.104, 245
257.42, 246
258.229, 247
259.182, 248
260.888, 249
260.888, 250
262.615, 251
262.651, 252
264.487, 253
264.928, 254
266.515, 255
266.567, 256
267.819, 257
268.542, 258
269.601, 259
269.987, 260
271.962, 261
272.103, 262
273.369, 263
273.829, 264
275.266, 265
276.148, 266
276.888, 267
277.681, 268
279.232, 269
280.309, 270
280.943, 271
281.858, 272
283.073, 273
283.811, 274
284.444, 275
285.696, 276
287.049, 277
287.33, 278
288.173, 279
289.301, 280
291.136, 281
291.489, 282
291.93, 283
293.145, 284
294.907, 285
294.96, 286
296.017, 287
296.562, 288
298.691, 289
299.325, 290
299.852, 291
300.274, 292
302.703, 293
302.756, 294
303.867, 295
303.938, 296
306.474, 297
306.492, 298
307.752, 299
308.209, 300
309.938, 301
310.026, 302
311.631, 303
311.896, 304
313.854, 305
314.508, 306
315.142, 307
315.565, 308
317.643, 309
317.976, 310
318.875, 311
319.245, 312
320.869, 313
321.998, 314
322.581, 315
323.286, 316
325.132, 317
325.202, 318
326.505, 319
327.085, 320
328.564, 321
329.112, 322
330.624, 323
331.099, 324
332.508, 325
333.09, 326
334.307, 327
334.623, 328
336.296, 329
336.42, 330
338.043, 331
338.13, 332
340.034, 333
340.211, 334
341.992, 335
342.291, 336
343.914, 337
343.985, 338
345.553, 339
346.257, 340
347.839, 341
348.069, 342
349.951, 343
350.34, 344
351.781, 345
351.781, 346
353.35, 347
353.562, 348
355.165, 349
355.571, 350
357.313, 351
357.33, 352
359.147, 353
359.78, 354
361.296, 355
361.999, 356
362.982, 357
363.282, 358
364.841, 359
365.652, 360
366.887, 361
367.222, 362
368.508, 363
368.897, 364
370.892, 365
371.103, 366
372.551, 367
372.886, 368
374.617, 369
374.988, 370
376.064, 371
376.329, 372
378.18, 373
378.621, 374
379.732, 375
380.119, 376
381.475, 377
382.107, 378
383.393, 379
383.885, 380
385.544, 381
385.738, 382
387.285, 383
387.356, 384
389.381, 385
389.627, 386
391.199, 387
391.621, 388
393.155, 389
393.473, 390
394.691, 391
395.238, 392
396.966, 393
397.529, 394
398.797, 395
398.885, 396
400.51, 397
401.092, 398
402.323, 399
402.694, 400
404.118, 401
404.913, 402
406.005, 403
406.304, 404
407.803, 405
408.085, 406
409.568, 407
410.131, 408
411.822, 409
411.875, 410
413.462, 411
413.515, 412
415.049, 413
415.734, 414
417.126, 415
417.144, 416
418.852, 417
419.435, 418
421.092, 419
421.498, 420
422.592, 421
422.909, 422
424.595, 423
425.035, 424
426.181, 425
427.394, 426
428.344, 427
428.502, 428
429.981, 429
431, 430
432.32, 431
432.478, 432
433.658, 433
434.434, 434
436.141, 435
436.968, 436
437.514, 437
438.553, 438
439.893, 439
440.367, 440
441.125, 441
442.324, 442
443.659, 443
444.294, 444
444.698, 445
446.249, 446
447.534, 447
448.257, 448
448.452, 449
449.663, 450
451.64, 451
452.239, 452
452.502, 453
453.77, 454
455.905, 455
456.259, 456
456.771, 457
457.475, 458
459.009, 459
460.168, 460
460.239, 461
461.402, 462
462.46, 463
463.979, 464
464.366, 465
465.478, 466
467.045, 467
467.837, 468
468.314, 469
469.531, 470
470.216, 471
471.446, 472
471.955, 473
472.697, 474
473.999, 475
475.038, 476
475.529, 477
476.605, 478
478.034, 479
479.039, 480
479.831, 481
480.658, 482
482.333, 483
482.457, 484
484.14, 485
484.335, 486
486.128, 487
486.552, 488
487.713, 489
488.154, 490
490.005, 491
490.657, 492
491.803, 493
492.297, 494
494.021, 495
494.285, 496
495.463, 497
495.727, 498
497.122, 499
498.359, 500
499.398, 501
499.61, 502
501.111, 503
501.729, 504
503.266, 505
503.406, 506
505.161, 507
505.354, 508
507.206, 509
507.294, 510
509.551, 511
509.569, 512
510.869, 513
511.276, 514
513.036, 515
513.283, 516
514.54, 517
515.139, 518
516.887, 519
516.957, 520
518.878, 521
519.001, 522
