Time, Plan
0.484, 1
1.046, 2
1.081, 3
1.293, 4
1.346, 5
1.488, 6
1.505, 7
2.336, 8
2.389, 9
2.459, 10
3.342, 11
4.102, 12
4.19, 13
4.331, 14
5.673, 15
5.92, 16
6.044, 17
6.097, 18
7.599, 19
7.811, 20
8.215, 21
8.621, 22
8.903, 23
8.991, 24
9.803, 25
9.838, 26
10.65, 27
11.18, 28
11.232, 29
11.975, 30
12.239, 31
12.433, 32
12.716, 33
12.84, 34
13.139, 35
14.445, 36
14.887, 37
15.292, 38
15.292, 39
16.051, 40
16.087, 41
16.281, 42
17.604, 43
18.752, 44
19.406, 45
19.777, 46
19.936, 47
20.36, 48
20.449, 49
20.519, 50
20.696, 51
20.89, 52
21.402, 53
21.614, 54
21.95, 55
22.16, 56
22.195, 57
22.478, 58
22.689, 59
23.555, 60
23.855, 61
24.791, 62
24.809, 63
30.811, 61
30.864, 62
30.9, 63
31.483, 64
33.814, 65
33.938, 66
33.991, 67
34.132, 68
34.909, 69
36.603, 70
36.885, 71
36.991, 72
37.45, 73
37.874, 74
38.033, 75
39.566, 76
39.884, 77
39.99, 78
40.06, 79
40.43, 80
41.084, 81
41.967, 82
42.037, 83
42.496, 84
44.19, 85
45.762, 86
45.974, 87
46.027, 88
47.315, 89
47.51, 90
48.11, 91
48.55, 92
49.661, 93
49.679, 94
49.908, 95
50.313, 96
50.419, 97
50.719, 98
50.754, 99
50.825, 100
56.828, 98
58.593, 99
58.787, 100
66.291, 96
66.415, 97
66.644, 98
67.015, 99
67.438, 100
74.038, 101
74.25, 102
76.418, 103
76.435, 104
76.718, 105
77.459, 106
77.688, 107
81.149, 108
81.22, 109
81.238, 110
81.397, 111
81.556, 112
83.197, 113
83.303, 114
83.427, 115
83.532, 116
83.638, 117
83.85, 118
85.209, 119
85.227, 120
85.298, 121
85.422, 122
88.848, 123
89.06, 124
89.06, 125
89.537, 126
90.931, 127
91.497, 128
92.203, 129
92.927, 130
93.033, 131
94.163, 132
100.163, 130
100.463, 131
100.781, 132
108.27, 128
108.799, 129
109.011, 130
109.311, 131
109.68, 132
115.49, 133
115.596, 134
116.372, 135
118.576, 136
118.576, 137
118.965, 138
120.728, 139
121.4, 140
122.812, 141
123.537, 142
124.488, 143
124.63, 144
125.018, 145
125.071, 146
125.882, 147
125.9, 148
126.13, 149
126.517, 150
127.153, 151
127.488, 152
127.91, 153
133.928, 151
133.928, 152
135.893, 153
136.07, 154
137.164, 155
139.051, 156
139.192, 157
139.228, 158
139.387, 159
139.563, 160
145.564, 158
145.581, 159
145.811, 160
153.314, 156
153.367, 157
154.373, 158
154.479, 159
154.567, 160
154.602, 161
154.938, 162
156.561, 163
157.514, 164
157.868, 165
157.938, 166
158.08, 167
159.193, 168
159.246, 169
159.458, 170
159.635, 171
159.776, 172
165.778, 170
166.237, 171
166.361, 172
173.862, 168
174.25, 169
174.709, 170
175.363, 171
175.486, 172
184.87, 170
