Time, Catch
27.246, 1
29.295, 2
30.637, 3
31.149, 4
32.155, 5
33.318, 6
33.882, 7
34.553, 8
35.593, 9
36.351, 10
37.623, 11
37.852, 12
38.787, 13
39.387, 14
39.985, 15
41.557, 16
42.103, 17
43.18, 18
43.233, 19
44.575, 20
45.388, 21
45.953, 22
47.081, 23
47.152, 24
48.671, 25
49.5, 26
49.659, 27
51.494, 28
51.723, 29
52.57, 30
53.346, 31
54.104, 32
54.969, 33
55.426, 34
56.218, 35
57.506, 36
57.647, 37
59.078, 38
59.993, 39
60.946, 40
61.174, 41
61.633, 42
63.043, 43
63.925, 44
64.737, 45
64.913, 46
65.726, 47
66.643, 48
67.615, 49
68.357, 50
69.273, 51
69.714, 52
70.438, 53
71.798, 54
72.786, 55
73.546, 56
73.899, 57
74.357, 58
75.469, 59
76.44, 60
77.764, 61
77.835, 62
78.436, 63
78.966, 64
80.254, 65
81.313, 66
81.648, 67
82.618, 68
83.429, 69
84.099, 70
85.191, 71
85.487, 72
86.261, 73
87.073, 74
88.469, 75
89.546, 76
89.723, 77
90.712, 78
90.87, 79
92.176, 80
93.394, 81
93.588, 82
