Time, Plan, Executed
0, 1, 0
0, 2, 0
0, 3, 0
0, 4, 0
0, 5, 0
0, 6, 0
0.168, 7, 0
0.168, 8, 0
0.76, 9, 0
0.76, 10, 0
0.866, 11, 0
2.361, 9, 0
2.361, 10, 0
4.001, 6, 0
4.072, 7, 0
4.178, 8, 0
4.178, 9, 0
4.354, 10, 0
6.136, 4, 0
6.242, 5, 0
6.295, 6, 0
6.366, 7, 0
6.401, 8, 0
6.454, 9, 0
6.454, 10, 0
8.431, 2, 0
8.731, 3, 0
8.802, 4, 0
9.066, 5, 0
9.895, 6, 0
10.211, 7, 0
10.264, 8, 0
10.282, 9, 0
10.282, 10, 0
12.504, 2, 0
12.592, 3, 0
13.016, 4, 0
13.052, 5, 0
13.175, 6, 0
13.741, 7, 0
13.9, 8, 0
13.9, 9, 0
13.9, 10, 0
16.427, 2, 0
19.341, 2, 0
20.983, 3, 0
21.99, 4, 0
22.025, 5, 0
22.238, 6, 0
22.273, 7, 0
22.997, 8, 0
22.997, 9, 0
23.032, 10, 0
26.404, 8, 0
27.093, 9, 0
27.111, 10, 0
31.095, 6, 0
31.448, 7, 0
31.589, 8, 0
31.854, 9, 0
31.978, 10, 0
