Time, Plan, Executed
0, 1, 0
0, 2, 0
0, 3, 0
0, 4, 0
0, 5, 0
0, 6, 0
0, 7, 0
0, 8, 0
0, 9, 0
0, 10, 0
0.133, 11, 0
0.133, 12, 0
0.133, 13, 0
0.179, 14, 0
0.197, 15, 0
0.214, 16, 0
0.214, 17, 0
0.214, 18, 0
0.214, 19, 0
0.214, 20, 0
0.214, 21, 0
0.391, 22, 0
0.415, 23, 0
0.415, 24, 0
0.415, 25, 0
0.415, 26, 0
0.415, 27, 0
0.415, 28, 0
0.427, 29, 0
0.427, 30, 0
0.443, 31, 0
0.443, 32, 0
0.46, 33, 0
0.478, 34, 0
0.478, 35, 0
0.531, 36, 0
0.531, 37, 0
0.531, 38, 0
0.531, 39, 0
0.531, 40, 0
0.566, 41, 0
0.566, 42, 0
0.584, 43, 0
0.601, 44, 0
0.601, 45, 0
0.601, 46, 0
0.619, 47, 0
0.637, 48, 0
0.637, 49, 0
0.637, 50, 0
0.637, 51, 0
0.637, 52, 0
0.637, 53, 0
0.654, 54, 0
0.654, 55, 0
0.654, 56, 0
0.654, 57, 0
0.672, 58, 0
0.672, 59, 0
0.672, 60, 0
0.672, 61, 0
0.672, 62, 0
0.69, 63, 0
0.69, 64, 0
0.796, 65, 0
0.831, 66, 0
0.831, 67, 0
0.849, 68, 0
0.849, 69, 0
0.849, 70, 0
0.919, 71, 0
0.919, 72, 0
0.919, 73, 0
0.955, 74, 0
0.955, 75, 0
0.955, 76, 0
0.972, 77, 0
0.972, 78, 0
0.972, 79, 0
0.972, 80, 0
1.008, 81, 0
1.008, 82, 0
1.008, 83, 0
1.025, 84, 0
1.025, 85, 0
1.025, 86, 0
1.025, 87, 0
1.025, 88, 0
1.043, 89, 0
1.202, 90, 0
1.202, 91, 0
2.203, 89, 0
2.22, 90, 0
2.22, 91, 0
2.256, 92, 0
2.256, 93, 0
2.256, 94, 0
3.153, 95, 0
3.171, 96, 0
3.171, 97, 0
3.171, 98, 0
3.188, 99, 0
4.193, 97, 0
4.193, 98, 0
5.182, 94, 0
5.235, 95, 0
5.235, 96, 0
5.235, 97, 0
5.253, 98, 0
6.152, 99, 0
6.611, 100, 0
6.611, 101, 0
6.647, 102, 0
6.682, 103, 0
6.806, 104, 0
6.823, 105, 0
6.823, 106, 0
6.823, 107, 0
6.841, 108, 0
7.829, 106, 0
7.9, 107, 0
7.9, 108, 0
8.906, 104, 0
8.923, 105, 0
8.923, 106, 0
8.941, 107, 0
8.941, 108, 0
9.753, 108, 1
9.93, 102, 1
9.948, 103, 1
10.036, 104, 1
10.036, 105, 1
10.036, 106, 1
10.054, 107, 1
10.107, 108, 1
10.107, 109, 1
10.142, 110, 1
10.142, 111, 1
10.142, 112, 1
10.142, 113, 1
10.231, 114, 1
10.231, 115, 1
10.266, 116, 1
10.284, 117, 1
10.284, 118, 1
10.284, 119, 1
10.284, 120, 1
10.284, 121, 1
10.354, 122, 1
10.354, 123, 1
10.354, 124, 1
10.372, 125, 1
10.39, 126, 1
10.39, 127, 1
10.39, 128, 1
10.478, 129, 1
10.496, 130, 1
10.496, 131, 1
10.496, 132, 1
10.496, 133, 1
10.513, 134, 1
10.513, 135, 1
10.513, 136, 1
10.549, 137, 1
10.566, 138, 1
10.566, 139, 1
10.636, 140, 1
10.654, 141, 1
10.654, 142, 1
10.654, 143, 1
10.706, 144, 1
10.706, 145, 1
10.812, 146, 1
10.83, 147, 1
10.865, 148, 1
10.865, 149, 1
10.865, 150, 1
10.865, 151, 1
10.883, 152, 1
10.883, 153, 1
