Time, Plan, Executed
0, 1, 0
0.2, 2, 0
0.2, 3, 0
0.2, 4, 0
0.2, 5, 0
0.2, 6, 0
0.2, 7, 0
1.206, 8, 0
1.206, 9, 0
1.206, 10, 0
1.206, 11, 0
1.206, 12, 0
1.206, 13, 0
1.206, 14, 0
1.206, 15, 0
1.242, 16, 0
1.277, 17, 0
1.277, 18, 0
1.277, 19, 0
1.277, 20, 0
1.277, 21, 0
1.295, 22, 0
1.295, 23, 0
1.295, 24, 0
1.365, 25, 0
1.365, 26, 0
1.365, 27, 0
1.383, 28, 0
1.383, 29, 0
1.383, 30, 0
1.383, 31, 0
1.418, 32, 0
1.418, 33, 0
1.454, 34, 0
1.454, 35, 0
1.454, 36, 0
1.454, 37, 0
1.471, 38, 0
1.471, 39, 0
1.948, 40, 0
3.448, 38, 0
3.448, 39, 0
4.842, 40, 0
6.478, 36, 0
6.478, 37, 0
6.513, 38, 0
6.513, 39, 0
6.513, 40, 0
8.294, 34, 0
8.312, 35, 0
10.286, 27, 0
10.286, 28, 0
10.304, 29, 0
10.304, 30, 0
10.304, 31, 0
10.392, 32, 0
10.569, 33, 0
12.775, 23, 0
12.811, 24, 0
12.933, 25, 0
13.623, 26, 0
13.623, 27, 0
13.623, 28, 0
13.623, 29, 0
13.623, 30, 0
13.623, 31, 0
13.623, 32, 0
13.729, 33, 0
14.347, 34, 0
15.828, 35, 0
15.828, 36, 0
15.863, 37, 0
15.916, 38, 0
15.916, 39, 0
17.1, 40, 0
17.117, 41, 0
17.117, 42, 0
17.117, 43, 0
17.152, 44, 0
17.241, 45, 0
17.241, 46, 0
18.74, 44, 0
18.793, 45, 0
18.793, 46, 0
20.414, 42, 0
20.431, 43, 0
20.431, 44, 0
20.484, 45, 0
20.484, 46, 0
22.262, 40, 0
22.421, 41, 0
22.439, 42, 0
22.439, 43, 0
22.439, 44, 0
22.456, 45, 0
22.456, 46, 0
24.432, 38, 0
24.449, 39, 0
24.484, 40, 0
24.537, 41, 0
24.537, 42, 0
24.555, 43, 0
24.555, 44, 0
24.555, 45, 0
24.572, 46, 0
26.805, 36, 0
26.823, 37, 0
26.841, 38, 0
27.264, 39, 0
27.352, 40, 0
27.352, 41, 0
27.722, 42, 0
27.722, 43, 0
27.722, 44, 0
27.757, 45, 0
27.757, 46, 0
30.278, 34, 0
30.349, 35, 0
30.402, 36, 0
30.506, 37, 0
30.506, 38, 0
30.506, 39, 0
30.541, 40, 0
30.559, 41, 0
30.559, 42, 0
30.559, 43, 0
30.576, 44, 0
30.84, 45, 0
30.858, 46, 0
33.767, 32, 0
33.767, 33, 0
33.767, 34, 0
35.267, 34, 1
36.079, 34, 2
37.155, 18, 2
37.155, 19, 2
37.155, 20, 2
37.226, 21, 2
37.226, 21, 3
38.071, 22, 3
38.071, 23, 3
38.089, 24, 3
38.107, 25, 3
38.107, 26, 3
38.107, 27, 3
38.195, 27, 4
38.53, 28, 4
38.548, 29, 4
38.566, 30, 4
38.566, 31, 4
38.706, 32, 4
38.742, 33, 4
38.742, 34, 4
38.742, 35, 4
38.742, 36, 4
39.711, 36, 5
39.711, 36, 6
40.556, 36, 7
40.785, 36, 8
41.785, 36, 9
41.927, 36, 10
42.718, 18, 10
42.789, 19, 10
42.983, 19, 11
43.758, 19, 12
44.162, 19, 13
44.215, 20, 13
45.396, 20, 14
45.501, 20, 15
46.558, 20, 16
48.268, 20, 17
48.936, 18, 17
48.972, 19, 17
49.325, 20, 17
49.465, 20, 18
54.976, 20, 18
