Time, Plan, Executed
0, 1, 0
0, 2, 0
0, 3, 0
0.14, 4, 0
0.14, 5, 0
0.14, 6, 0
0.14, 7, 0
0.14, 8, 0
0.198, 9, 0
0.198, 10, 0
0.29, 11, 0
0.308, 12, 0
0.342, 13, 0
0.36, 14, 0
0.36, 15, 0
0.36, 16, 0
0.36, 17, 0
0.36, 18, 0
0.36, 19, 0
0.36, 20, 0
0.36, 21, 0
0.36, 22, 0
0.395, 23, 0
0.412, 24, 0
0.412, 25, 0
0.412, 26, 0
0.412, 27, 0
0.412, 28, 0
0.437, 29, 0
0.448, 30, 0
0.465, 31, 0
0.465, 32, 0
0.465, 33, 0
0.5, 34, 0
0.5, 35, 0
0.518, 36, 0
0.518, 37, 0
0.518, 38, 0
0.518, 39, 0
0.535, 40, 0
0.553, 41, 0
0.553, 42, 0
0.606, 43, 0
0.73, 44, 0
2.229, 42, 0
2.229, 43, 0
2.247, 44, 0
3.865, 40, 0
3.865, 41, 0
4.023, 42, 0
4.041, 43, 0
4.041, 44, 0
4.871, 45, 0
6.364, 43, 0
6.364, 44, 0
8.005, 40, 0
8.005, 41, 0
9.029, 42, 0
9.029, 43, 0
9.029, 44, 0
10.812, 38, 0
10.812, 39, 0
10.812, 40, 0
10.812, 41, 0
10.83, 42, 0
10.83, 43, 0
10.83, 44, 0
12.808, 36, 0
12.808, 37, 0
12.826, 38, 0
12.826, 39, 0
12.826, 40, 0
12.879, 41, 0
12.879, 42, 0
12.879, 43, 0
12.95, 44, 0
14.874, 44, 1
15.174, 34, 1
15.174, 35, 1
16.656, 35, 2
17.697, 23, 2
17.767, 24, 2
17.767, 25, 2
17.767, 26, 2
17.767, 27, 2
17.838, 28, 2
17.838, 29, 2
17.838, 30, 2
17.997, 31, 2
17.997, 32, 2
18.103, 33, 2
18.139, 34, 2
18.139, 35, 2
18.139, 36, 2
18.139, 37, 2
18.139, 38, 2
18.139, 39, 2
18.139, 40, 2
18.156, 41, 2
18.156, 42, 2
18.226, 43, 2
18.226, 44, 2
18.226, 45, 2
18.279, 45, 3
18.297, 46, 3
18.314, 47, 3
18.332, 48, 3
18.332, 49, 3
18.332, 50, 3
18.35, 51, 3
18.35, 52, 3
18.367, 53, 3
18.367, 54, 3
18.385, 55, 3
18.385, 56, 3
18.385, 57, 3
18.385, 58, 3
18.473, 59, 3
18.473, 60, 3
18.49, 61, 3
18.49, 62, 3
18.49, 63, 3
18.508, 64, 3
18.543, 65, 3
19.25, 65, 4
19.938, 65, 5
20.044, 63, 5
20.044, 64, 5
20.044, 65, 5
20.061, 66, 5
20.061, 67, 5
20.079, 68, 5
20.079, 69, 5
20.079, 70, 5
20.079, 71, 5
20.079, 72, 5
20.097, 73, 5
20.097, 74, 5
20.097, 75, 5
20.273, 76, 5
20.273, 77, 5
20.273, 78, 5
20.273, 79, 5
20.273, 80, 5
20.273, 81, 5
20.485, 82, 5
20.503, 82, 6
20.503, 83, 6
20.503, 84, 6
20.503, 85, 6
20.52, 86, 6
20.52, 87, 6
20.52, 88, 6
20.538, 89, 6
20.538, 90, 6
20.538, 91, 6
21.667, 91, 7
22.038, 89, 7
22.038, 90, 7
22.038, 91, 7
22.215, 91, 8
23.203, 91, 9
23.663, 87, 9
23.663, 88, 9
23.663, 89, 9
23.716, 89, 10
23.787, 90, 10
23.787, 91, 10
23.787, 92, 10
23.822, 93, 10
23.857, 94, 10
23.857, 95, 10
23.857, 96, 10
23.857, 97, 10
23.875, 98, 10
23.875, 99, 10
23.875, 100, 10
23.875, 101, 10
