Time, Plan, Executed
0, 1, 0
0, 2, 0
0, 3, 0
0, 4, 0
0, 5, 0
0, 6, 0
0, 7, 0
0, 8, 0
0, 9, 0
0.297, 10, 0
0.297, 11, 0
0.315, 12, 0
0.332, 13, 0
0.35, 14, 0
0.35, 15, 0
0.35, 16, 0
0.35, 17, 0
0.35, 18, 0
0.35, 19, 0
0.35, 20, 0
0.35, 21, 0
0.755, 22, 0
0.773, 23, 0
0.773, 24, 0
0.773, 25, 0
0.773, 26, 0
0.773, 27, 0
0.842, 28, 0
1.936, 29, 0
3.437, 27, 0
3.454, 28, 0
5.08, 24, 0
5.08, 25, 0
5.08, 26, 0
5.097, 27, 0
5.097, 28, 0
5.097, 29, 0
5.661, 30, 0
5.661, 31, 0
5.75, 32, 0
6.986, 33, 0
6.986, 34, 0
7.003, 35, 0
7.021, 36, 0
7.021, 37, 0
7.039, 38, 0
7.039, 39, 0
7.145, 40, 0
7.145, 41, 0
7.215, 42, 0
7.233, 43, 0
8.73, 41, 0
8.765, 42, 0
8.765, 43, 0
8.765, 44, 0
10.161, 45, 0
10.178, 46, 0
10.178, 47, 0
10.178, 48, 0
10.178, 49, 0
10.196, 50, 0
10.214, 51, 0
10.214, 52, 0
10.214, 53, 0
10.249, 54, 0
10.249, 55, 0
10.267, 56, 0
10.267, 57, 0
10.267, 58, 0
10.461, 59, 0
10.479, 60, 0
10.513, 61, 0
10.655, 62, 0
10.655, 63, 0
10.655, 64, 0
10.673, 65, 0
12.17, 63, 0
12.188, 64, 0
12.205, 65, 0
13.828, 61, 0
13.828, 62, 0
13.828, 63, 0
13.846, 64, 0
13.846, 65, 0
13.846, 66, 0
15.348, 64, 0
15.348, 65, 0
15.348, 66, 0
15.365, 67, 0
15.365, 68, 0
15.365, 69, 0
16.867, 67, 0
16.867, 68, 0
16.884, 69, 0
16.902, 70, 0
17.025, 71, 0
17.025, 72, 0
17.025, 73, 0
17.043, 74, 0
17.043, 75, 0
17.307, 76, 0
17.307, 77, 0
17.325, 78, 0
17.325, 79, 0
17.325, 80, 0
17.325, 81, 0
17.343, 82, 0
17.343, 83, 0
17.343, 84, 0
17.36, 85, 0
17.413, 86, 0
17.502, 87, 0
17.519, 88, 0
17.519, 89, 0
17.537, 90, 0
19.02, 88, 0
19.073, 89, 0
19.073, 90, 0
20.699, 86, 0
20.734, 87, 0
20.734, 88, 0
20.752, 89, 0
20.769, 90, 0
22.551, 84, 0
22.551, 85, 0
22.551, 86, 0
22.551, 87, 0
22.551, 88, 0
22.551, 89, 0
22.569, 90, 0
24.558, 82, 0
24.576, 83, 0
25.492, 84, 0
25.492, 85, 0
25.527, 86, 0
25.563, 87, 0
25.563, 88, 0
25.58, 89, 0
25.58, 90, 0
27.202, 90, 1
27.803, 80, 1
27.803, 81, 1
27.803, 82, 1
27.803, 83, 1
27.821, 84, 1
27.821, 85, 1
27.839, 86, 1
27.874, 87, 1
27.892, 88, 1
27.892, 89, 1
27.892, 90, 1
27.892, 91, 1
28.881, 91, 2
29.393, 89, 2
29.411, 90, 2
29.411, 91, 2
30.099, 91, 3
31.036, 87, 3
31.036, 88, 3
31.071, 89, 3
31.071, 90, 3
31.089, 91, 3
31.371, 91, 4
31.407, 91, 5
32.731, 91, 6
32.873, 85, 6
32.873, 86, 6
32.873, 87, 6
32.961, 87, 7
33.119, 88, 7
33.119, 89, 7
33.119, 90, 7
34.038, 90, 8
34.302, 90, 9
35.097, 82, 9
35.114, 83, 9
35.486, 84, 9
35.486, 85, 9
35.52, 86, 9
