Time, Plan, Executed
0, 1, 0
0, 2, 0
0, 3, 0
0, 4, 0
0, 5, 0
0, 6, 0
0, 7, 0
0, 8, 0
0, 9, 0
0, 10, 0
0, 11, 0
0.203, 12, 0
0.203, 13, 0
0.22, 14, 0
0.22, 15, 0
0.292, 16, 0
0.292, 17, 0
0.308, 18, 0
0.308, 19, 0
0.326, 20, 0
0.326, 21, 0
0.326, 22, 0
0.344, 23, 0
0.344, 24, 0
0.501, 25, 0
0.501, 26, 0
0.519, 27, 0
0.519, 28, 0
0.537, 29, 0
0.537, 30, 0
0.537, 31, 0
0.537, 32, 0
0.537, 33, 0
0.537, 34, 0
0.553, 35, 0
0.571, 36, 0
0.571, 37, 0
0.589, 38, 0
0.589, 39, 0
0.642, 40, 0
0.642, 41, 0
0.642, 42, 0
0.659, 43, 0
0.659, 44, 0
0.748, 45, 0
0.748, 46, 0
0.748, 47, 0
0.783, 48, 0
0.801, 49, 0
0.801, 50, 0
0.801, 51, 0
0.854, 52, 0
0.854, 53, 0
0.854, 54, 0
0.871, 55, 0
0.871, 56, 0
0.871, 57, 0
0.871, 58, 0
0.889, 59, 0
0.906, 60, 0
0.924, 61, 0
0.924, 62, 0
0.924, 63, 0
0.924, 64, 0
0.924, 65, 0
0.995, 66, 0
0.995, 67, 0
1.012, 68, 0
1.012, 69, 0
1.012, 70, 0
1.012, 71, 0
1.012, 72, 0
1.012, 73, 0
1.048, 74, 0
1.065, 75, 0
1.083, 76, 0
1.083, 77, 0
1.083, 78, 0
1.118, 79, 0
1.136, 80, 0
1.189, 81, 0
1.189, 82, 0
1.189, 83, 0
1.189, 84, 0
1.189, 85, 0
1.189, 86, 0
2.193, 84, 0
2.193, 85, 0
2.193, 86, 0
3.194, 82, 0
3.212, 83, 0
3.23, 84, 0
3.23, 85, 0
3.23, 86, 0
3.318, 87, 0
3.335, 88, 0
4.339, 86, 0
4.443, 87, 0
5.449, 83, 0
5.449, 84, 0
5.466, 85, 0
5.466, 86, 0
5.749, 87, 0
6.754, 81, 0
6.754, 82, 0
6.754, 83, 0
6.772, 84, 0
6.772, 85, 0
6.79, 86, 0
7.776, 78, 0
7.829, 79, 0
8.833, 69, 0
8.851, 70, 0
8.851, 71, 0
8.904, 72, 0
8.904, 73, 0
8.904, 74, 0
8.939, 75, 0
8.939, 76, 0
8.957, 77, 0
8.957, 78, 0
8.975, 79, 0
9.187, 80, 0
9.222, 81, 0
9.222, 82, 0
9.275, 83, 0
9.275, 84, 0
9.293, 85, 0
9.311, 86, 0
9.311, 87, 0
9.311, 88, 0
9.311, 89, 0
9.311, 90, 0
9.311, 91, 0
9.311, 92, 0
9.328, 93, 0
9.328, 94, 0
9.328, 95, 0
9.328, 96, 0
9.328, 97, 0
9.328, 98, 0
9.346, 99, 0
9.346, 100, 0
9.346, 101, 0
9.364, 102, 0
9.364, 103, 0
9.364, 104, 0
9.381, 105, 0
9.381, 106, 0
9.381, 107, 0
9.381, 108, 0
9.381, 109, 0
9.399, 110, 0
9.487, 111, 0
9.487, 112, 0
9.735, 113, 0
9.805, 114, 0
9.805, 115, 0
9.823, 116, 0
9.823, 117, 0
9.823, 118, 0
9.841, 119, 0
9.841, 120, 0
9.841, 121, 0
9.858, 122, 0
9.858, 123, 0
9.876, 124, 0
9.876, 125, 0
9.876, 126, 0
9.876, 127, 0
9.911, 128, 0
9.911, 129, 0
9.929, 130, 0
9.929, 131, 0
9.929, 132, 0
9.929, 133, 0
9.929, 134, 0
9.947, 135, 0
9.964, 136, 0
9.964, 137, 0
