Time, Plan
0.306, 1
2.655, 2
2.849, 3
3.98, 4
4.016, 5
4.334, 6
4.528, 7
4.546, 8
6.172, 9
6.19, 10
7.391, 11
8.185, 12
8.713, 13
8.925, 14
10.144, 15
12.334, 16
12.686, 17
13.304, 18
13.357, 19
13.48, 20
13.745, 21
13.869, 22
14.134, 23
14.257, 24
14.646, 25
14.84, 26
14.893, 27
15.265, 28
15.477, 29
15.582, 30
15.617, 31
21.616, 29
21.916, 30
22.569, 31
22.586, 32
22.916, 33
23.215, 34
24.678, 35
25.755, 36
26.885, 37
27.591, 38
28.88, 39
28.968, 40
29.126, 41
29.197, 42
30.204, 43
30.433, 44
30.733, 45
30.98, 46
31.122, 47
31.775, 48
37.778, 46
38.556, 47
38.626, 48
41.417, 49
43.342, 50
43.501, 51
43.536, 52
43.748, 53
43.818, 54
44.189, 55
44.435, 56
44.681, 57
44.699, 58
44.752, 59
45.264, 60
45.423, 61
45.741, 62
46.587, 63
47.24, 64
47.591, 65
47.697, 66
48.121, 67
48.315, 68
49.304, 69
49.868, 70
50.098, 71
50.151, 72
51.704, 73
51.916, 74
57.92, 72
59.79, 73
60.568, 74
68.057, 70
68.409, 71
68.886, 72
69.434, 73
69.557, 74
78.931, 68
