Time, Plan
0, 1
2.454, 2
2.649, 3
2.719, 4
2.86, 5
3.213, 6
3.231, 7
3.866, 8
3.937, 9
4.59, 10
4.608, 11
4.661, 12
4.873, 13
5.138, 14
7.451, 15
7.787, 16
8.017, 17
8.246, 18
8.687, 19
8.899, 20
9.076, 21
9.535, 22
9.676, 23
10.878, 24
11.177, 25
12.449, 26
12.573, 27
12.644, 28
12.732, 29
12.82, 30
12.838, 31
13.703, 32
13.703, 33
13.951, 34
14.375, 35
14.445, 36
15.082, 37
15.54, 38
16.315, 39
17.164, 40
23.168, 38
23.821, 39
23.962, 40
31.449, 36
31.608, 37
31.626, 38
31.626, 39
31.732, 40
31.803, 41
32.174, 42
32.333, 43
32.439, 44
32.598, 45
37.821, 46
38.119, 47
38.402, 48
38.544, 49
38.65, 50
38.773, 51
38.809, 52
41.156, 53
41.209, 54
41.227, 55
41.881, 56
42.269, 57
42.694, 58
42.853, 59
42.976, 60
43.011, 61
43.029, 62
43.294, 63
43.824, 64
43.877, 65
49.812, 66
49.83, 67
49.936, 68
55.924, 66
56.753, 67
57.371, 68
58.624, 69
59.047, 70
59.171, 71
59.295, 72
59.313, 73
59.525, 74
60.001, 75
60.901, 76
61.149, 77
61.184, 78
62.508, 79
62.543, 80
62.632, 81
62.649, 82
63.956, 83
64.309, 84
70.295, 82
70.419, 83
71.267, 84
72.944, 85
73.173, 86
73.279, 87
73.314, 88
73.385, 89
73.473, 90
73.827, 91
74.074, 92
74.357, 93
74.957, 94
75.116, 95
75.856, 96
81.857, 94
81.874, 95
81.927, 96
89.434, 92
89.61, 93
90.58, 94
90.58, 95
90.598, 96
92.027, 97
92.504, 98
93.458, 99
94.127, 100
94.145, 101
94.163, 102
94.445, 103
94.48, 104
96.313, 105
102.311, 103
102.453, 104
102.965, 105
103.071, 106
103.812, 107
104.077, 108
104.517, 109
104.623, 110
104.694, 111
104.747, 112
104.765, 113
105.329, 114
107.836, 115
108.19, 116
108.278, 117
108.366, 118
108.384, 119
108.843, 120
108.861, 121
108.896, 122
108.985, 123
109.514, 124
110.026, 125
110.484, 126
110.749, 127
112.335, 128
118.344, 126
118.414, 127
119.917, 128
120.252, 129
121.045, 130
121.063, 131
122.718, 132
122.981, 133
123.298, 134
124.656, 135
124.904, 136
125.185, 137
131.188, 135
132.282, 136
132.635, 137
140.119, 133
140.349, 134
142.609, 135
145.044, 136
154.415, 136
