Time, Plan
0.131, 1
0.498, 2
0.515, 3
0.639, 4
0.727, 5
0.762, 6
0.815, 7
1.115, 8
1.151, 9
1.168, 10
1.204, 11
1.204, 12
1.714, 13
1.731, 14
1.802, 15
1.872, 16
2.385, 17
3.036, 18
3.918, 19
6.653, 20
6.865, 21
8.261, 22
8.279, 23
8.385, 24
8.579, 25
8.703, 26
8.738, 27
8.756, 28
9.48, 29
9.498, 30
10.416, 31
10.469, 32
12.676, 33
12.747, 34
13.081, 35
14.422, 36
14.546, 37
14.546, 38
14.564, 39
20.563, 37
20.616, 38
20.951, 39
21.004, 40
21.163, 41
21.339, 42
21.375, 43
21.41, 44
21.622, 45
21.675, 46
21.675, 47
22.045, 48
23.07, 49
23.37, 50
24.095, 51
24.27, 52
26.776, 53
27.41, 54
27.727, 55
27.763, 56
27.78, 57
28.027, 58
28.327, 59
28.891, 60
29.051, 61
29.244, 62
29.262, 63
29.297, 64
33.918, 65
34.412, 66
34.483, 67
36.052, 68
36.547, 69
36.706, 70
37.166, 71
37.643, 72
43.647, 70
44.918, 71
52.417, 67
52.823, 68
52.875, 69
53.58, 70
53.598, 71
53.598, 72
53.845, 73
59.846, 71
60.165, 72
61.029, 73
61.223, 74
67.225, 72
74.731, 68
75.438, 69
75.579, 70
75.579, 71
75.597, 72
78.912, 73
79.071, 74
