Time, Catch
32.245, 1
33.779, 2
34.928, 3
36.321, 4
36.41, 5
37.77, 6
38.212, 7
38.935, 8
39.358, 9
40.84, 10
40.946, 11
42.267, 12
42.426, 13
43.537, 14
43.537, 15
44.877, 16
45.283, 17
46.342, 18
46.607, 19
47.824, 20
47.983, 21
48.883, 22
49.749, 23
50.507, 24
50.808, 25
51.779, 26
52.149, 27
53.438, 28
53.438, 29
54.655, 30
55.361, 31
55.856, 32
56.384, 33
57.478, 34
57.546, 35
59.247, 36
59.387, 37
60.481, 38
60.976, 39
62.159, 40
62.441, 41
63.13, 42
63.43, 43
64.702, 44
65.038, 45
66.449, 46
66.555, 47
67.579, 48
67.791, 49
69.01, 50
69.134, 51
70.44, 52
70.651, 53
71.78, 54
72.134, 55
72.981, 56
73.458, 57
74.693, 58
75.046, 59
75.945, 60
76.352, 61
77.27, 62
77.481, 63
78.838, 64
79.033, 65
80.073, 66
80.443, 67
81.536, 68
81.978, 69
83.038, 70
83.48, 71
84.38, 72
84.503, 73
85.528, 74
85.951, 75
87.114, 76
87.52, 77
88.402, 78
88.596, 79
90.292, 80
90.663, 81
91.652, 82
91.705, 83
92.639, 84
92.78, 85
94.209, 86
94.897, 87
95.636, 88
95.937, 89
97.067, 90
97.155, 91
98.603, 92
98.833, 93
100.07, 94
100.3, 95
101.183, 96
101.342, 97
102.667, 98
103.233, 99
104.628, 100
104.822, 101
105.794, 102
105.899, 103
107.241, 104
107.312, 105
108.601, 106
108.795, 107
110.207, 108
110.613, 109
111.425, 110
111.602, 111
112.712, 112
112.818, 113
114.264, 114
114.653, 115
116.17, 116
116.223, 117
117.177, 118
117.477, 119
118.764, 120
119.081, 121
120.07, 122
120.528, 123
121.814, 124
122.026, 125
123.26, 126
123.278, 127
124.373, 128
124.831, 129
126.298, 130
126.457, 131
127.091, 132
127.76, 133
128.749, 134
129.067, 135
130.144, 136
130.639, 137
132.084, 138
133.003, 139
148.491, 140
150.24, 141
152.111, 142
165.455, 143
