Time, Catch
27.393, 1
28.732, 2
30.815, 3
30.886, 4
32.595, 5
32.63, 6
34.2, 7
34.589, 8
35.083, 9
36.035, 10
36.706, 11
37.183, 12
38.243, 13
38.773, 14
40.08, 15
40.504, 16
41.351, 17
42.481, 18
42.782, 19
43.488, 20
44.406, 21
45.675, 22
45.922, 23
47.016, 24
47.44, 25
48.094, 26
48.852, 27
50.422, 28
50.97, 29
51.111, 30
51.782, 31
52.312, 32
53.686, 33
54.374, 34
54.622, 35
56.124, 36
56.566, 37
57.571, 38
58.418, 39
58.875, 40
59.282, 41
59.687, 42
61.93, 43
61.982, 44
62.618, 45
63.342, 46
63.978, 47
65.424, 48
66.007, 49
66.466, 50
67.455, 51
68.621, 52
68.796, 53
69.45, 54
70.439, 55
71.286, 56
72.558, 57
72.647, 58
73.494, 59
73.865, 60
75.102, 61
76.424, 62
76.971, 63
77.782, 64
78.435, 65
78.718, 66
80.078, 67
81.013, 68
81.72, 69
82.691, 70
82.797, 71
