Time, Catch
22.521, 1
24.442, 2
26.261, 3
26.579, 4
27.602, 5
28.82, 6
30.056, 7
30.092, 8
31.591, 9
32.703, 10
33.867, 11
34.096, 12
35.345, 13
36.596, 14
37.409, 15
37.55, 16
38.786, 17
39.579, 18
41.291, 19
41.344, 20
42.277, 21
43.655, 22
44.379, 23
44.927, 24
46.568, 25
47.31, 26
48.476, 27
48.476, 28
50.136, 29
50.86, 30
52.007, 31
52.378, 32
53.494, 33
54.593, 34
55.052, 35
56.291, 36
57.529, 37
58.373, 38
59.202, 39
60.012, 40
61.656, 41
61.709, 42
62.893, 43
63.969, 44
65.113, 45
65.236, 46
66.362, 47
67.948, 48
68.881, 49
69.144, 50
70.589, 51
71.135, 52
72.668, 53
72.756, 54
74.275, 55
75.228, 56
76.622, 57
76.746, 58
78.778, 59
79.043, 60
79.872, 61
80.491, 62
82.29, 63
82.431, 64
83.825, 65
84.02, 66
85.961, 67
86.453, 68
87.794, 69
88.041, 70
90.072, 71
90.708, 72
91.147, 73
91.483, 74
93.689, 75
94.091, 76
94.902, 77
95.096, 78
97.76, 79
97.884, 80
