Time, Plan
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
0, 7
0.409, 8
0.409, 9
0.409, 10
1.415, 8
1.468, 9
1.627, 10
2.88, 6
2.95, 7
2.986, 8
3.003, 9
3.021, 10
4.575, 4
4.628, 5
4.98, 6
5.033, 7
5.05, 8
5.086, 9
5.086, 10
7.044, 2
7.062, 3
7.115, 4
7.167, 5
7.202, 6
7.219, 7
7.342, 8
7.378, 9
7.395, 10
9.843, 2
10.142, 3
10.548, 4
10.566, 5
10.636, 6
10.636, 7
10.672, 8
10.672, 9
10.795, 10
13.858, 2
13.894, 3
14.633, 4
14.685, 5
14.703, 6
14.72, 7
14.72, 8
14.791, 9
14.808, 10
18.614, 2
18.967, 3
19.283, 4
19.301, 5
19.337, 6
19.406, 7
19.406, 8
19.424, 9
19.459, 10
24.232, 2
24.444, 3
24.584, 4
24.62, 5
24.62, 6
25.13, 7
25.148, 8
26.028, 9
26.045, 10
32.007, 4
