Time, Catch
22.526, 1
24.539, 2
26.075, 3
26.587, 4
28.439, 5
28.457, 6
29.923, 7
30.241, 8
32.359, 9
32.607, 10
33.737, 11
34.285, 12
35.946, 13
36.899, 14
37.887, 15
38.08, 16
40.164, 17
40.305, 18
41.329, 19
42.404, 20
43.474, 21
44.039, 22
45.062, 23
45.945, 24
46.968, 25
47.374, 26
49.351, 27
49.952, 28
50.534, 29
51.506, 30
53.076, 31
54.03, 32
54.648, 33
55.459, 34
56.976, 35
57.999, 36
58.722, 37
58.828, 38
61.209, 39
61.651, 40
62.692, 41
62.833, 42
65.675, 43
65.71, 44
66.84, 45
67.633, 46
69.395, 47
70.013, 48
70.65, 49
71.214, 50
73.048, 51
73.7, 52
74.545, 53
74.704, 54
76.772, 55
77.283, 56
78.554, 57
78.943, 58
80.849, 59
81.379, 60
82.245, 61
82.898, 62
84.487, 63
85.842, 64
86.017, 65
86.759, 66
88.208, 67
89.161, 68
89.921, 69
90.82, 70
92.461, 71
93.309, 72
94.067, 73
94.597, 74
96.84, 75
97.264, 76
97.458, 77
98.111, 78
99.417, 79
100.812, 80
101.466, 81
101.905, 82
103.117, 83
104.227, 84
104.933, 85
105.657, 86
106.823, 87
108.766, 88
109.066, 89
109.967, 90
111.113, 91
112.473, 92
112.755, 93
113.513, 94
114.591, 95
116.04, 96
117.4, 97
117.594, 98
118.6, 99
120.42, 100
121.197, 101
121.639, 102
122.434, 103
123.793, 104
125.169, 105
125.186, 106
126.546, 107
127.711, 108
128.401, 109
129.054, 110
130.432, 111
131.297, 112
132.198, 113
133.011, 114
134.299, 115
134.405, 116
135.941, 117
136.611, 118
138.448, 119
138.466, 120
139.685, 121
140.886, 122
141.767, 123
142.985, 124
143.745, 125
144.448, 126
