Time, Plan
0, 1
3.665, 2
3.735, 3
3.965, 4
4.089, 5
4.371, 6
4.513, 7
4.548, 8
5.131, 9
5.237, 10
5.272, 11
6.082, 12
6.364, 13
7.387, 14
7.404, 15
8.955, 16
9.731, 17
10.032, 18
10.473, 19
14.342, 20
14.377, 21
14.731, 22
16.514, 23
17.396, 24
17.396, 25
17.414, 26
17.678, 27
17.802, 28
17.872, 29
18.207, 30
18.436, 31
18.489, 32
18.595, 33
18.648, 34
18.666, 35
18.86, 36
19.513, 37
19.936, 38
21.736, 39
22.425, 40
22.707, 41
23.484, 42
23.572, 43
23.678, 44
23.837, 45
24.188, 46
24.294, 47
24.913, 48
24.966, 49
25.054, 50
28.617, 51
29.782, 52
29.87, 53
30.718, 54
31.583, 55
33.083, 56
33.436, 57
33.506, 58
33.595, 59
38.15, 60
38.256, 61
38.309, 62
40.144, 63
40.179, 64
41.485, 65
41.661, 66
41.714, 67
47.714, 65
50.053, 66
50.089, 67
50.23, 68
50.618, 69
50.795, 70
51.606, 71
51.694, 72
51.782, 73
51.782, 74
51.906, 75
52.029, 76
52.082, 77
52.171, 78
52.383, 79
52.859, 80
53.071, 81
53.513, 82
55.136, 83
55.171, 84
55.876, 85
55.929, 86
56.423, 87
56.441, 88
56.899, 89
57.182, 90
57.854, 91
57.889, 92
58.136, 93
58.26, 94
58.402, 95
58.755, 96
58.755, 97
58.86, 98
58.931, 99
59.442, 100
59.566, 101
59.796, 102
60.909, 103
62.428, 104
68.432, 102
68.609, 103
69.21, 104
69.492, 105
70.78, 106
70.798, 107
76.8, 105
76.818, 106
76.818, 107
79.041, 108
79.448, 109
79.606, 110
82.019, 111
82.813, 112
83.697, 113
84.331, 114
90.331, 112
91.497, 113
98.998, 109
99.368, 110
99.65, 111
100.057, 112
100.516, 113
105.513, 114
114.884, 108
115.978, 109
117.037, 110
118.024, 111
118.907, 112
118.924, 113
119.295, 114
128.926, 115
128.997, 116
129.261, 117
129.367, 118
129.949, 119
130.532, 120
136.53, 118
136.99, 119
