Time, Catch
22.552, 1
24.896, 2
26.341, 3
26.553, 4
28.527, 5
28.563, 6
29.971, 7
30.482, 8
32.472, 9
32.56, 10
34.112, 11
34.358, 12
36.35, 13
36.474, 14
38.166, 15
38.183, 16
40.055, 17
40.09, 18
42.133, 19
42.504, 20
43.666, 21
44.195, 22
46.259, 23
46.312, 24
47.761, 25
47.955, 26
49.996, 27
49.996, 28
51.124, 29
52.199, 30
53.168, 31
54.157, 32
55.356, 33
55.532, 34
56.591, 35
57.509, 36
59.378, 37
59.729, 38
60.4, 39
61.351, 40
63.036, 41
63.142, 42
64.307, 43
64.799, 44
66.965, 45
67.282, 46
68.181, 47
68.375, 48
70.541, 49
71.123, 50
71.882, 51
72.411, 52
74.406, 53
74.88, 54
75.882, 55
76.323, 56
78.491, 57
78.791, 58
79.586, 59
79.85, 60
82.002, 61
82.319, 62
83.554, 63
83.731, 64
85.62, 65
85.814, 66
87.437, 67
87.808, 68
89.838, 69
89.909, 70
91.568, 71
91.674, 72
93.652, 73
94.215, 74
95.399, 75
95.629, 76
96.882, 77
97.621, 78
99.349, 79
99.843, 80
100.214, 81
101.38, 82
103.235, 83
104.029, 84
104.135, 85
105.301, 86
106.66, 87
107.331, 88
108.126, 89
109.168, 90
110.211, 91
111.147, 92
112.276, 93
113, 94
114.095, 95
115.33, 96
116.194, 97
116.792, 98
118.344, 99
118.556, 100
119.828, 101
121.246, 102
121.988, 103
122.234, 104
123.379, 105
125.28, 106
125.986, 107
126.039, 108
126.974, 109
128.26, 110
129.706, 111
129.865, 112
130.815, 113
132.193, 114
133.199, 115
133.764, 116
135.122, 117
135.511, 118
136.924, 119
138.265, 120
139.518, 121
139.659, 122
140.435, 123
141.705, 124
142.977, 125
143.684, 126
145.006, 127
145.2, 128
146.56, 129
147.743, 130
148.413, 131
149.261, 132
150.427, 133
151.045, 134
152.192, 135
152.668, 136
154.505, 137
154.998, 138
156.004, 139
156.517, 140
158.123, 141
158.37, 142
160.115, 143
160.52, 144
162.584, 145
162.602, 146
163.643, 147
164.402, 148
166.448, 149
166.678, 150
167.684, 151
168.301, 152
169.714, 153
170.772, 154
171.373, 155
171.373, 156
173.863, 157
174.075, 158
175.046, 159
175.417, 160
177.554, 161
177.907, 162
179.442, 163
179.495, 164
181.349, 165
181.508, 166
183.04, 167
183.182, 168
185.212, 169
185.247, 170
186.712, 171
187.366, 172
188.743, 173
188.743, 174
190.155, 175
190.773, 176
192.185, 177
192.839, 178
194.04, 179
194.57, 180
196.248, 181
196.478, 182
197.361, 183
198.613, 184
200.22, 185
200.45, 186
201.544, 187
202.551, 188
203.946, 189
204.28, 190
205.834, 191
206.47, 192
207.987, 193
207.987, 194
209.681, 195
210.017, 196
211.659, 197
211.995, 198
213.336, 199
213.672, 200
215.597, 201
215.844, 202
217.539, 203
218.069, 204
219.375, 205
219.834, 206
221.723, 207
221.811, 208
223.188, 209
223.347, 210
225.731, 211
225.979, 212
227.338, 213
227.479, 214
229.333, 215
229.756, 216
231.663, 217
231.663, 218
233.341, 219
233.394, 220
234.896, 221
235.673, 222
237.315, 223
238.004, 224
238.797, 225
239.186, 226
240.773, 227
241.409, 228
243.03, 229
243.419, 230
243.666, 231
245.36, 232
246.184, 233
246.501, 234
247.714, 235
249.144, 236
250.1, 237
250.117, 238
251.193, 239
252.734, 240
253.671, 241
253.794, 242
255.449, 243
256.293, 244
257.545, 245
257.72, 246
259.449, 247
260.209, 248
261.458, 249
261.476, 250
263.418, 251
263.577, 252
265.22, 253
265.958, 254
266.926, 255
267.437, 256
269.425, 257
269.567, 258
270.641, 259
271.484, 260
273.365, 261
273.523, 262
274.667, 263
275.072, 264
277.039, 265
277.46, 266
278.99, 267
279.57, 268
280.554, 269
281.379, 270
282.808, 271
283.107, 272
284.39, 273
285.163, 274
285.92, 275
287.694, 276
288.694, 277
289.081, 278
290.099, 279
291.768, 280
292.748, 281
293.258, 282
293.434, 283
294.77, 284
296.428, 285
296.446, 286
297.735, 287
298.459, 288
299.925, 289
301.101, 290
301.381, 291
302.268, 292
303.888, 293
305.013, 294
305.468, 295
309.026, 296
