Time, Plan
0.749, 1
2.179, 2
2.25, 3
2.674, 4
2.691, 5
2.815, 6
2.868, 7
2.938, 8
2.974, 9
3.06, 10
3.184, 11
3.29, 12
3.501, 13
3.713, 14
4.507, 15
6.412, 16
8.407, 17
8.477, 18
8.705, 19
9.639, 20
9.657, 21
9.886, 22
9.904, 23
10.01, 24
11.37, 25
11.441, 26
11.582, 27
12.093, 28
18.079, 26
18.114, 27
19.032, 28
20.074, 29
26.077, 27
26.837, 28
27.031, 29
27.862, 30
28.761, 31
29.06, 32
29.449, 33
30.685, 34
30.879, 35
36.891, 33
37.28, 34
37.297, 35
44.799, 31
44.888, 32
46.3, 33
47.588, 34
47.676, 35
