Time, Plan
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
0, 7
0, 8
0, 9
0, 10
0, 11
0, 12
0.123, 13
0.123, 14
0.123, 15
0.123, 16
0.123, 17
0.224, 18
0.224, 19
0.224, 20
0.224, 21
0.24, 22
0.24, 23
0.24, 24
0.24, 25
0.276, 26
0.276, 27
0.276, 28
0.31, 29
0.328, 30
0.346, 31
0.346, 32
0.558, 33
0.575, 34
0.575, 35
0.611, 36
0.611, 37
0.611, 38
0.611, 39
0.611, 40
2.616, 38
2.634, 39
2.634, 40
5.14, 36
5.175, 37
5.175, 38
5.175, 39
5.264, 40
8.385, 34
8.385, 35
8.403, 36
8.403, 37
8.403, 38
8.42, 39
8.42, 40
12.314, 32
12.367, 33
12.384, 34
12.384, 35
12.384, 36
12.402, 37
12.402, 38
12.42, 39
12.508, 40
12.666, 41
12.666, 42
12.666, 43
12.666, 44
12.684, 45
12.701, 46
12.701, 47
12.719, 48
12.719, 49
12.772, 50
12.949, 51
12.984, 52
13.02, 53
13.02, 54
13.02, 55
13.037, 56
13.073, 57
13.073, 58
13.073, 59
13.073, 60
13.073, 61
13.09, 62
13.09, 63
13.09, 64
13.09, 65
13.09, 66
13.09, 67
15.097, 65
15.097, 66
15.097, 67
17.603, 63
17.603, 64
17.62, 65
17.62, 66
17.62, 67
17.868, 68
17.868, 69
17.868, 70
17.868, 71
17.938, 72
17.938, 73
17.991, 74
17.991, 75
17.991, 76
18.009, 77
18.009, 78
18.027, 79
18.027, 80
18.027, 81
18.027, 82
18.044, 83
18.115, 84
18.133, 85
18.133, 86
18.168, 87
18.168, 88
18.168, 89
19.457, 90
19.457, 91
19.457, 92
19.457, 93
19.475, 94
19.493, 95
19.493, 96
19.493, 97
19.599, 98
19.599, 99
19.599, 100
19.634, 101
19.634, 102
19.705, 103
19.705, 104
19.723, 105
19.723, 106
19.74, 107
19.74, 108
19.776, 109
19.793, 110
19.793, 111
19.793, 112
19.846, 113
20.235, 114
20.235, 115
20.253, 116
20.253, 117
20.253, 118
20.253, 119
20.253, 120
22.262, 118
22.28, 119
22.28, 120
24.789, 116
24.789, 117
24.789, 118
24.789, 119
24.807, 120
27.929, 114
27.929, 115
27.946, 116
27.946, 117
27.946, 118
27.946, 119
27.946, 120
