Time, Plan, Executed
0, 1, 0
0, 2, 0
0, 3, 0
0, 4, 0
0, 5, 0
0, 6, 0
0, 7, 0
0, 8, 0
0, 9, 0
0, 10, 0
0.21, 11, 0
0.21, 12, 0
0.21, 13, 0
0.21, 14, 0
0.21, 15, 0
0.21, 16, 0
0.21, 17, 0
0.21, 18, 0
0.21, 19, 0
0.21, 20, 0
0.502, 21, 0
0.537, 22, 0
0.554, 23, 0
0.554, 24, 0
0.554, 25, 0
0.572, 26, 0
0.572, 27, 0
0.572, 28, 0
0.609, 29, 0
0.659, 30, 0
0.677, 31, 0
0.677, 32, 0
0.677, 33, 0
0.677, 34, 0
0.695, 35, 0
0.712, 36, 0
0.712, 37, 0
0.73, 38, 0
0.73, 39, 0
0.747, 40, 0
0.747, 41, 0
0.783, 42, 0
0.783, 43, 0
0.941, 44, 0
0.959, 45, 0
0.959, 46, 0
0.994, 47, 0
0.994, 48, 0
0.994, 49, 0
1.012, 50, 0
1.029, 51, 0
1.047, 52, 0
1.047, 53, 0
1.047, 54, 0
1.047, 55, 0
1.047, 56, 0
1.065, 57, 0
1.065, 58, 0
1.065, 59, 0
1.065, 60, 0
1.065, 61, 0
1.082, 62, 0
1.082, 63, 0
1.082, 64, 0
1.082, 65, 0
1.082, 66, 0
1.082, 67, 0
1.082, 68, 0
1.082, 69, 0
1.082, 70, 0
1.1, 71, 0
1.1, 72, 0
1.1, 73, 0
1.1, 74, 0
1.135, 75, 0
1.153, 76, 0
1.171, 77, 0
1.401, 78, 0
1.471, 79, 0
1.471, 80, 0
1.471, 81, 0
1.489, 82, 0
1.489, 83, 0
1.507, 84, 0
1.507, 85, 0
1.524, 86, 0
1.542, 87, 0
1.542, 88, 0
1.542, 89, 0
1.56, 90, 0
1.56, 91, 0
1.577, 92, 0
1.577, 93, 0
1.577, 94, 0
1.594, 95, 0
1.612, 96, 0
1.612, 97, 0
1.612, 98, 0
1.629, 99, 0
1.629, 100, 0
1.646, 101, 0
1.664, 102, 0
1.664, 103, 0
1.664, 104, 0
1.682, 105, 0
1.682, 106, 0
1.682, 107, 0
1.682, 108, 0
1.682, 109, 0
1.698, 110, 0
1.698, 111, 0
1.698, 112, 0
1.698, 113, 0
1.698, 114, 0
1.698, 115, 0
1.716, 116, 0
1.734, 117, 0
1.734, 118, 0
1.734, 119, 0
1.751, 120, 0
1.751, 121, 0
1.751, 122, 0
1.751, 123, 0
1.769, 124, 0
1.769, 125, 0
1.787, 126, 0
1.804, 127, 0
1.804, 128, 0
1.822, 129, 0
1.822, 130, 0
1.84, 131, 0
1.84, 132, 0
1.893, 133, 0
1.91, 134, 0
1.928, 135, 0
1.928, 136, 0
1.946, 137, 0
1.963, 138, 0
1.963, 139, 0
1.963, 140, 0
1.963, 141, 0
1.999, 142, 0
2.016, 143, 0
2.034, 144, 0
2.034, 145, 0
2.034, 146, 0
2.069, 147, 0
2.122, 148, 0
2.193, 149, 0
2.211, 150, 0
7.613, 150, 1
8.299, 151, 1
8.334, 152, 1
10.815, 152, 2
11.377, 152, 3
12.397, 153, 3
12.415, 154, 3
14.633, 154, 4
15.002, 154, 5
16.424, 155, 5
16.442, 156, 5
18.254, 156, 6
18.782, 156, 7
19.467, 157, 7
19.467, 158, 7
22.107, 158, 8
22.384, 158, 9
23.548, 159, 9
23.548, 160, 9
25.444, 160, 10
26.252, 160, 11
26.568, 161, 11
26.586, 162, 11
29.374, 162, 12
29.444, 162, 13
30.62, 163, 13
30.779, 164, 13
32.908, 164, 14
33.489, 164, 15
34.809, 165, 15
