Time, Plan
0, 1
0, 2
0, 3
0, 4
0.367, 5
0.668, 6
0.668, 7
0.72, 8
1.07, 9
1.07, 10
1.07, 11
1.088, 12
1.105, 13
1.21, 14
1.228, 15
1.263, 16
1.28, 17
1.333, 18
1.351, 19
1.386, 20
1.386, 21
1.474, 22
1.492, 23
1.492, 24
1.527, 25
1.527, 26
1.545, 27
1.545, 28
1.563, 29
1.615, 30
1.651, 31
1.651, 32
1.686, 33
1.704, 34
1.704, 35
1.704, 36
1.739, 37
1.791, 38
1.826, 39
1.844, 40
1.879, 41
1.879, 42
1.896, 43
1.914, 44
1.931, 45
1.949, 46
1.949, 47
2.125, 48
2.125, 49
2.143, 50
2.161, 51
2.248, 52
2.337, 53
2.337, 54
2.354, 55
2.354, 56
2.407, 57
2.425, 58
2.425, 59
2.443, 60
2.443, 61
2.496, 62
2.513, 63
2.531, 64
2.531, 65
2.566, 66
2.584, 67
2.602, 68
2.619, 69
2.707, 70
2.724, 71
2.76, 72
2.795, 73
2.813, 74
2.83, 75
2.883, 76
2.883, 77
2.989, 78
2.989, 79
3.007, 80
4.014, 78
4.014, 79
4.049, 80
4.049, 81
4.067, 82
4.084, 83
4.102, 84
4.102, 85
4.208, 86
4.226, 87
4.279, 88
4.544, 89
4.561, 90
4.561, 91
4.579, 92
4.632, 93
4.632, 94
4.65, 95
4.667, 96
4.791, 97
4.861, 98
4.861, 99
4.878, 100
13.931, 101
13.966, 102
21.049, 103
21.084, 104
28.135, 105
28.188, 106
36.278, 107
36.313, 108
43.367, 109
43.403, 110
51.439, 111
51.492, 112
58.689, 113
58.689, 114
65.774, 115
65.88, 116
73.049, 117
73.084, 118
80.157, 119
80.175, 120
87.232, 121
87.285, 122
95.429, 123
95.429, 124
102.549, 125
102.549, 126
109.638, 127
109.638, 128
116.711, 129
116.728, 130
123.767, 131
123.819, 132
131.89, 133
131.925, 134
138.991, 135
139.08, 136
145.601, 137
145.619, 138
152.722, 139
152.757, 140
159.866, 141
159.884, 142
166.982, 143
167.017, 144
175.084, 145
175.119, 146
182.17, 147
182.205, 148
189.288, 149
189.306, 150
197.403, 151
197.42, 152
204.5, 153
204.518, 154
211.672, 155
211.69, 156
218.748, 157
218.783, 158
